y qnum qana
0.000000 1.00000000e+00 9.99993933e-01
0.012500 9.98506593e-01 9.98683221e-01
0.025000 9.97111238e-01 9.97377650e-01
0.037500 9.95811379e-01 9.96077185e-01
0.050000 9.94516433e-01 9.94781795e-01
0.062500 9.93226686e-01 9.93491445e-01
0.075000 9.91941771e-01 9.92206104e-01
0.087500 9.90662015e-01 9.90925738e-01
0.100000 9.89387002e-01 9.89650316e-01
0.112500 9.88117110e-01 9.88379807e-01
0.125000 9.86851869e-01 9.87114178e-01
0.137500 9.85591719e-01 9.85853398e-01
0.150000 9.84336122e-01 9.84597438e-01
0.162500 9.83085593e-01 9.83346265e-01
0.175000 9.81839516e-01 9.82099850e-01
0.187500 9.80598489e-01 9.80858163e-01
0.200000 9.79361808e-01 9.79621173e-01
0.212500 9.78130168e-01 9.78388852e-01
0.225000 9.76902762e-01 9.77161169e-01
0.237500 9.75680394e-01 9.75938097e-01
0.250000 9.74462144e-01 9.74719605e-01
0.262500 9.73248938e-01 9.73505667e-01
0.275000 9.72039723e-01 9.72296252e-01
0.287500 9.70835573e-01 9.71091334e-01
0.300000 9.69635276e-01 9.69890884e-01
0.312500 9.68440075e-01 9.68694876e-01
0.325000 9.67248580e-01 9.67503281e-01
0.337500 9.66062226e-01 9.66316072e-01
0.350000 9.64879417e-01 9.65133224e-01
0.362500 9.63701810e-01 9.63954708e-01
0.375000 9.62527573e-01 9.62780499e-01
0.387500 9.61358618e-01 9.61610571e-01
0.400000 9.60192837e-01 9.60444897e-01
0.412500 9.59032440e-01 9.59283452e-01
0.425000 9.57875002e-01 9.58126211e-01
0.437500 9.56723073e-01 9.56973147e-01
0.450000 9.55573864e-01 9.55824237e-01
0.462500 9.54430317e-01 9.54679454e-01
0.475000 9.53289223e-01 9.53538775e-01
0.487500 9.52153975e-01 9.52402175e-01
0.500000 9.51020880e-01 9.51269630e-01
0.512500 9.49893852e-01 9.50141116e-01
0.525000 9.48768641e-01 9.49016608e-01
0.537500 9.47649760e-01 9.47896084e-01
0.550000 9.46532315e-01 9.46779519e-01
0.562500 9.45421512e-01 9.45666891e-01
0.575000 9.44311714e-01 9.44558176e-01
0.587500 9.43208924e-01 9.43453352e-01
0.600000 9.42106651e-01 9.42352395e-01
0.612500 9.41011816e-01 9.41255284e-01
0.625000 9.39916943e-01 9.40161996e-01
0.637500 9.38830012e-01 9.39072508e-01
0.650000 9.37742410e-01 9.37986800e-01
0.662500 9.36663337e-01 9.36904848e-01
0.675000 9.35582873e-01 9.35826632e-01
0.687500 9.34511624e-01 9.34752130e-01
0.700000 9.33438157e-01 9.33681320e-01
0.712500 9.32374703e-01 9.32614182e-01
0.725000 9.31308088e-01 9.31550695e-01
0.737500 9.30252412e-01 9.30490838e-01
0.750000 9.29192494e-01 9.29434590e-01
0.762500 9.28144591e-01 9.28381931e-01
0.775000 9.27091206e-01 9.27332840e-01
0.787500 9.26051084e-01 9.26287298e-01
0.800000 9.25004055e-01 9.25245284e-01
0.812500 9.23971736e-01 9.24206779e-01
0.825000 9.22930876e-01 9.23171764e-01
0.837500 9.21906399e-01 9.22140217e-01
0.850000 9.20871502e-01 9.21112121e-01
0.862500 9.19854926e-01 9.20087456e-01
0.875000 9.18825770e-01 9.19066203e-01
0.887500 9.17817176e-01 9.18048343e-01
0.900000 9.16793516e-01 9.17033857e-01
0.912500 9.15793011e-01 9.16022728e-01
0.925000 9.14774578e-01 9.15014935e-01
0.937500 9.13782297e-01 9.14010461e-01
0.950000 9.12768793e-01 9.13009288e-01
0.962500 9.11784905e-01 9.12011398e-01
0.975000 9.10775992e-01 9.11016773e-01
0.987500 9.09730472e-01 9.10025395e-01
1.000000 9.09730472e-01 9.09037246e-01
