y qnum qana
0.000000 1.00000000e+00 9.99805731e-01
0.012500 5.74319692e-01 5.54019531e-01
0.025000 4.26892961e-01 4.25798276e-01
0.037500 3.60493278e-01 3.58674266e-01
0.050000 3.17396161e-01 3.15741943e-01
0.062500 2.86715951e-01 2.85267531e-01
0.075000 2.63465121e-01 2.62197284e-01
0.087500 2.45068260e-01 2.43948857e-01
0.100000 2.30045318e-01 2.29047110e-01
0.112500 2.17478999e-01 2.16580097e-01
0.125000 2.06766114e-01 2.05949700e-01
0.137500 1.97492558e-01 1.96745167e-01
0.150000 1.89362537e-01 1.88673825e-01
0.162500 1.82159359e-01 1.81520743e-01
0.175000 1.75719180e-01 1.75124048e-01
0.187500 1.69916590e-01 1.69359193e-01
0.200000 1.64652624e-01 1.64128570e-01
0.212500 1.59849207e-01 1.59354457e-01
0.225000 1.55442545e-01 1.54974093e-01
0.237500 1.51381287e-01 1.50936168e-01
0.250000 1.47622156e-01 1.47198271e-01
0.262500 1.44129914e-01 1.43724998e-01
0.275000 1.40873958e-01 1.40486529e-01
0.287500 1.37829290e-01 1.37457548e-01
0.300000 1.34973497e-01 1.34616402e-01
0.312500 1.32288377e-01 1.31944446e-01
0.325000 1.29757012e-01 1.29425529e-01
0.337500 1.27365880e-01 1.27045579e-01
0.350000 1.25101853e-01 1.24792269e-01
0.362500 1.22954741e-01 1.22654753e-01
0.375000 1.20914097e-01 1.20623442e-01
0.387500 1.18972169e-01 1.18689823e-01
0.400000 1.17120440e-01 1.16846307e-01
0.412500 1.15352996e-01 1.15086108e-01
0.425000 1.13662724e-01 1.13403134e-01
0.437500 1.12045132e-01 1.11791897e-01
0.450000 1.10494134e-01 1.10247442e-01
0.462500 1.09006371e-01 1.08765280e-01
0.475000 1.07576508e-01 1.07341333e-01
0.487500 1.06202108e-01 1.05971887e-01
0.500000 1.04878378e-01 1.04653552e-01
0.512500 1.03603662e-01 1.03383225e-01
0.525000 1.02373539e-01 1.02158062e-01
0.537500 1.01187034e-01 1.00975449e-01
0.550000 1.00039964e-01 9.98329784e-02
0.562500 9.89319674e-02 9.87284292e-02
0.575000 9.78589874e-02 9.76597491e-02
0.587500 9.68212324e-02 9.66250379e-02
0.600000 9.58146721e-02 9.56225332e-02
0.612500 9.48400651e-02 9.46505984e-02
0.625000 9.38933170e-02 9.37077106e-02
0.637500 9.29757337e-02 9.27924513e-02
0.650000 9.20830697e-02 9.19034971e-02
0.662500 9.12171918e-02 9.10396115e-02
0.675000 9.03736174e-02 9.01996381e-02
0.687500 8.95548024e-02 8.93824937e-02
0.700000 8.87559387e-02 8.85871627e-02
0.712500 8.79801147e-02 8.78126913e-02
0.725000 8.72221031e-02 8.70581836e-02
0.737500 8.64856832e-02 8.63227962e-02
0.750000 8.57651067e-02 8.56057351e-02
0.762500 8.50649187e-02 8.49062515e-02
0.775000 8.43787373e-02 8.42236388e-02
0.787500 8.37119663e-02 8.35572295e-02
0.800000 8.30574631e-02 8.29063926e-02
0.812500 8.24216033e-02 8.22705309e-02
0.825000 8.17963394e-02 8.16490788e-02
0.837500 8.11891544e-02 8.10415001e-02
0.850000 8.05909306e-02 8.04472863e-02
0.862500 8.00104202e-02 7.98659543e-02
0.875000 7.94372446e-02 7.92970455e-02
0.887500 7.88816171e-02 7.87401235e-02
0.900000 7.83316770e-02 7.81947733e-02
0.912500 7.77993260e-02 7.76605995e-02
0.925000 7.72709637e-02 7.71372256e-02
0.937500 7.67604489e-02 7.66242925e-02
0.950000 7.62521402e-02 7.61214576e-02
0.962500 7.57621713e-02 7.56283939e-02
0.975000 7.52724920e-02 7.51447889e-02
0.987500 7.47689005e-02 7.46703440e-02
1.000000 7.47689005e-02 7.42047737e-02
