# 3D Orszag-Tang vortex -- GPU/ (CUDA), D3Q27 fluid + D3Q7 magnetic, shifted-basis central moments, FP32
# M = 100 (1e6 nodes)   Re = 1040   Ma = 0.034   Pr_m = 1
# v0 = b0 = 6.940221e-03   nu = eta = 6.673289e-04   tau = 0.502002   omega = 1.99202
# 9172 steps to t = 4; probe every 229 steps (dt_frame = 0.09986); 42 .vti frames
#
# Jmax(physical) = Jmax(lattice) / dt with dt = v0 * 2pi/M = 4.360669e-04, i.e. x 2293.23.
# That is validation/orszag_tang_3d.cpp's own conversion (jp = jmax/dt), checked
# against the tracked M=32 series which carries both columns: 6.7e-09.
# E/E0 and max|divB|/k|B| are already dimensionless.
#
# t  E/E0  E_u/E0  E_b/E0  max|divB|/k|B|  Jmax(lattice)  Jmax(physical)
0.100 0.997242 0.508640 0.488602 5.655e-04 2.3885e-03 5.4774
0.200 0.995288 0.504803 0.490485 1.628e-03 2.8429e-03 6.5194
0.300 0.993007 0.495524 0.497482 5.063e-03 3.4980e-03 8.0217
0.399 0.990441 0.479121 0.511320 1.750e-02 4.2434e-03 9.7311
0.499 0.987303 0.455836 0.531467 5.553e-02 5.2921e-03 12.1360
0.599 0.983205 0.427704 0.555501 1.325e-01 7.7743e-03 17.8282
0.699 0.977787 0.397594 0.580193 2.145e-01 1.0983e-02 25.1865
0.799 0.970821 0.368514 0.602307 2.669e-01 1.4009e-02 32.1258
0.899 0.962252 0.343225 0.619027 3.521e-01 1.5790e-02 36.2100
0.999 0.952153 0.323811 0.628342 4.536e-01 1.5675e-02 35.9463
1.098 0.940625 0.311180 0.629445 5.003e-01 2.0494e-02 46.9974
1.198 0.927713 0.304839 0.622874 5.665e-01 2.7672e-02 63.4581
1.298 0.913500 0.303266 0.610234 7.815e-01 2.8282e-02 64.8570
1.398 0.898192 0.304616 0.593576 9.111e-01 2.5735e-02 59.0162
1.498 0.882029 0.307322 0.574708 8.060e-01 2.3367e-02 53.5858
1.598 0.865112 0.310489 0.554623 7.523e-01 2.6368e-02 60.4678
1.698 0.847459 0.313931 0.533528 8.549e-01 2.7456e-02 62.9628
1.797 0.829257 0.317525 0.511732 1.084e+00 2.6678e-02 61.1787
1.897 0.810740 0.320669 0.490071 1.050e+00 2.4472e-02 56.1198
1.997 0.792004 0.322372 0.469632 1.113e+00 2.7035e-02 61.9974
2.097 0.773031 0.321561 0.451470 1.570e+00 2.7904e-02 63.9902
2.197 0.753665 0.317507 0.436158 1.544e+00 2.8187e-02 64.6392
2.297 0.733743 0.310194 0.423549 1.431e+00 2.8025e-02 64.2677
2.397 0.713315 0.300348 0.412967 1.219e+00 2.3903e-02 54.8150
2.496 0.692565 0.288878 0.403687 1.012e+00 1.9979e-02 45.8164
2.596 0.671697 0.276513 0.395185 1.332e+00 2.0844e-02 47.8000
2.696 0.651001 0.263826 0.387175 1.331e+00 2.0186e-02 46.2911
2.796 0.630684 0.251375 0.379310 1.177e+00 1.9747e-02 45.2843
2.896 0.610813 0.239700 0.371113 1.172e+00 2.1887e-02 50.1918
2.996 0.591424 0.229169 0.362256 1.188e+00 2.0648e-02 47.3505
3.096 0.572576 0.219825 0.352751 9.164e-01 2.1449e-02 49.1874
3.195 0.554317 0.211472 0.342845 1.049e+00 2.4957e-02 57.2320
3.295 0.536672 0.203884 0.332788 1.073e+00 2.6649e-02 61.1122
3.395 0.519670 0.196799 0.322871 1.164e+00 2.6959e-02 61.8231
3.495 0.503337 0.189952 0.313385 1.210e+00 2.5648e-02 58.8167
3.595 0.487695 0.183147 0.304549 1.119e+00 2.3590e-02 54.0972
3.695 0.472754 0.176339 0.296415 9.233e-01 2.1192e-02 48.5980
3.795 0.458511 0.169657 0.288854 7.925e-01 1.8921e-02 43.3901
3.895 0.444951 0.163298 0.281653 7.882e-01 1.6475e-02 37.7809
3.994 0.432035 0.157436 0.274600 8.056e-01 1.5414e-02 35.3478
4.000 0.431375 0.157144 0.274231 8.097e-01 1.5369e-02 35.2446
