Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.792000e-02   eta 1.792000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 3584 steps; running 7168 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000  0.0000 1.729e-05 3.170e-05   0.0402 1.61e-12 1.29e-01 4.01e-07  0.5061  0.913  0.00e+00
      28  0.008  9.888e-04  1.210e-03    0.817  0.0051 1.831e-05 3.344e-05   0.0445 2.46e-05 1.27e-01 2.77e-01  0.0422  0.730 -5.75e-09
      56  0.016  9.260e-04  1.210e-03    0.765  0.0086 1.871e-05 3.812e-05   0.0447 3.16e-05 1.57e-01 3.20e-01  0.0210  0.737 -5.65e-09
      84  0.023  8.688e-04  1.215e-03    0.715  0.0090 1.871e-05 4.317e-05   0.0436 3.56e-05 1.77e-01 3.13e-01  0.0144  0.745 -5.65e-09
     112  0.031  8.125e-04  1.218e-03    0.667  0.0093 1.859e-05 4.792e-05   0.0432 4.31e-05 1.94e-01 2.97e-01  0.0112  0.752 -5.49e-09
     140  0.039  7.697e-04  1.217e-03    0.633  0.0084 1.881e-05 5.261e-05   0.0427 5.38e-05 2.15e-01 2.80e-01  0.0093  0.759 -5.58e-09
     168  0.047  7.315e-04  1.210e-03    0.605  0.0044 1.943e-05 5.725e-05   0.0423 6.86e-05 2.35e-01 2.64e-01  0.0080  0.765 -5.65e-09
     196  0.055  6.923e-04  1.198e-03    0.578  0.0003 2.026e-05 6.168e-05   0.0413 8.14e-05 2.49e-01 2.49e-01  0.0072  0.771 -5.53e-09
     224  0.062  6.582e-04  1.181e-03    0.557  0.0032 2.118e-05 6.568e-05   0.0400 9.50e-05 2.60e-01 2.36e-01  0.0066  0.779 -5.63e-09
     252  0.070  6.278e-04  1.159e-03    0.542  0.0070 2.219e-05 6.917e-05   0.0382 1.08e-04 2.71e-01 2.26e-01  0.0060  0.786 -5.54e-09
     280  0.078  6.027e-04  1.134e-03    0.532  0.0080 2.312e-05 7.201e-05   0.0367 1.22e-04 2.77e-01 2.17e-01  0.0056  0.794 -5.48e-09
     308  0.086  5.802e-04  1.105e-03    0.525  0.0075 2.392e-05 7.401e-05   0.0347 1.34e-04 2.81e-01 2.10e-01  0.0052  0.803 -5.40e-09
     336  0.094  5.585e-04  1.073e-03    0.520  0.0063 2.455e-05 7.517e-05   0.0332 1.47e-04 2.83e-01 2.04e-01  0.0050  0.812 -5.49e-09
     364  0.102  5.364e-04  1.041e-03    0.515  0.0057 2.500e-05 7.554e-05   0.0317 1.60e-04 2.81e-01 2.00e-01  0.0048  0.819 -5.35e-09
     392  0.109  5.142e-04  1.008e-03    0.510  0.0051 2.543e-05 7.575e-05   0.0301 1.71e-04 4.27e-01 1.97e-01  0.0046  0.827 -5.35e-09
     420  0.117        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 1.86e+05 0.00e+00  0.0076  0.000       nan

  *** NON-FINITE at step 420 ***

  wrote 8 frames to anim_frames/  (render with results/N_mhd_sphere/render_slices.py and render_volume.py)
