Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 96   R 38.40 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 7.680000e-03   eta 7.680000e-03   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 1536 steps; running 3072 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000  0.0000 9.170e-05 1.689e-04   0.0398 8.84e-12 1.28e-01 1.74e-07  0.5072  0.913  0.00e+00
      12  0.008  9.424e-04  1.180e-03    0.799  0.0042 8.694e-05 1.687e-04   0.0451 3.18e-05 1.22e-01 1.06e-01  0.0952  0.737 -5.88e-09
      24  0.016  8.425e-04  1.171e-03    0.720  0.0072 8.400e-05 1.800e-04   0.0482 4.13e-05 1.31e-01 1.67e-01  0.0413  0.735 -6.15e-09
      36  0.023  7.841e-04  1.168e-03    0.672  0.0083 8.232e-05 1.972e-04   0.0495 4.44e-05 1.40e-01 1.96e-01  0.0238  0.735 -6.19e-09
      48  0.031  7.327e-04  1.166e-03    0.628  0.0090 8.199e-05 2.173e-04   0.0499 4.64e-05 1.53e-01 2.09e-01  0.0162  0.734 -6.07e-09
      60  0.039  6.917e-04  1.162e-03    0.595  0.0082 8.280e-05 2.381e-04   0.0493 4.90e-05 1.68e-01 2.12e-01  0.0121  0.734 -6.07e-09
      72  0.047  6.568e-04  1.153e-03    0.569  0.0053 8.463e-05 2.586e-04   0.0485 5.39e-05 1.85e-01 2.11e-01  0.0095  0.734 -6.29e-09
      84  0.055  6.251e-04  1.141e-03    0.548  0.0030 8.728e-05 2.779e-04   0.0474 6.02e-05 1.98e-01 2.08e-01  0.0080  0.735 -5.98e-09
      96  0.062  5.961e-04  1.124e-03    0.530  0.0041 9.034e-05 2.950e-04   0.0458 6.71e-05 2.08e-01 2.04e-01  0.0071  0.737 -6.13e-09
     108  0.070  5.698e-04  1.103e-03    0.517  0.0053 9.350e-05 3.095e-04   0.0439 7.41e-05 2.19e-01 2.01e-01  0.0063  0.740 -6.20e-09
     120  0.078  5.471e-04  1.079e-03    0.507  0.0062 9.642e-05 3.208e-04   0.0421 8.16e-05 2.26e-01 1.97e-01  0.0057  0.744 -5.95e-09
     132  0.086  5.267e-04  1.052e-03    0.501  0.0070 9.884e-05 3.284e-04   0.0401 8.94e-05 2.29e-01 1.95e-01  0.0052  0.749 -5.88e-09
     144  0.094  5.076e-04  1.022e-03    0.497  0.0073 1.007e-04 3.322e-04   0.0383 9.68e-05 2.33e-01 1.93e-01  0.0049  0.755 -6.40e-09
     156  0.102  4.891e-04  9.921e-04    0.493  0.0074 1.018e-04 3.327e-04   0.0368 1.05e-04 2.34e-01 1.92e-01  0.0047  0.761 -6.40e-09
     168  0.109  4.707e-04  9.611e-04    0.490  0.0075 1.022e-04 3.300e-04   0.0353 1.12e-04 2.32e-01 1.91e-01  0.0045  0.767 -6.58e-09
     180  0.117  4.531e-04  9.298e-04    0.487  0.0081 1.020e-04 3.246e-04   0.0341 1.19e-04 2.31e-01 1.91e-01  0.0043  0.773 -6.37e-09
     192  0.125  4.359e-04  8.987e-04    0.485  0.0091 1.012e-04 3.172e-04   0.0330 1.25e-04 2.35e-01 1.92e-01  0.0042  0.779 -6.49e-09
     204  0.133  4.197e-04  8.681e-04    0.484  0.0100 9.991e-05 3.083e-04   0.0322 1.32e-04 2.41e-01 1.93e-01  0.0040  0.786 -6.49e-09
     216  0.141  4.043e-04  8.383e-04    0.482  0.0110 9.821e-05 2.984e-04   0.0316 1.39e-04 2.44e-01 1.94e-01  0.0038  0.793 -6.63e-09
     228  0.148  3.892e-04  8.094e-04    0.481  0.0122 9.618e-05 2.880e-04   0.0310 1.46e-04 2.47e-01 1.95e-01  0.0037  0.799 -6.79e-09
     240  0.156  3.746e-04  7.816e-04    0.479  0.0134 9.390e-05 2.775e-04   0.0304 1.53e-04 2.52e-01 1.97e-01  0.0036  0.806 -6.67e-09
     252  0.164  3.603e-04  7.549e-04    0.477  0.0147 9.144e-05 2.671e-04   0.0299 1.61e-04 2.54e-01 1.98e-01  0.0035  0.812 -6.39e-09
     264  0.172  3.467e-04  7.295e-04    0.475  0.0160 8.888e-05 2.570e-04   0.0294 1.67e-04 2.54e-01 2.00e-01  0.0034  0.818 -6.70e-09
     276  0.180  3.335e-04  7.053e-04    0.473  0.0176 8.627e-05 2.474e-04   0.0289 1.74e-04 2.50e-01 2.01e-01  0.0033  0.823 -6.45e-09
     288  0.187  3.209e-04  6.823e-04    0.470  0.0190 8.361e-05 2.381e-04   0.0284 1.80e-04 2.45e-01 2.03e-01  0.0032  0.828 -6.55e-09
     300  0.195  3.088e-04  6.605e-04    0.468  0.0204 8.094e-05 2.291e-04   0.0281 1.86e-04 2.37e-01 2.04e-01  0.0031  0.833 -6.75e-09
     312  0.203  2.972e-04  6.396e-04    0.465  0.0217 7.828e-05 2.206e-04   0.0279 1.92e-04 2.33e-01 2.06e-01  0.0030  0.838 -6.64e-09
     324  0.211  2.861e-04  6.196e-04    0.462  0.0229 7.566e-05 2.124e-04   0.0278 1.99e-04 2.26e-01 2.07e-01  0.0029  0.842 -6.58e-09
     336  0.219  2.755e-04  6.006e-04    0.459  0.0239 7.311e-05 2.046e-04   0.0280 2.05e-04 2.18e-01 2.09e-01  0.0029  0.847 -6.76e-09
     348  0.227  2.655e-04  5.824e-04    0.456  0.0248 7.065e-05 1.972e-04   0.0284 2.11e-04 2.23e-01 2.10e-01  0.0028  0.851 -6.77e-09
     360  0.234  2.560e-04  5.650e-04    0.453  0.0257 6.829e-05 1.901e-04   0.0289 2.17e-04 2.29e-01 2.12e-01  0.0027  0.855 -6.94e-09
     372  0.242  2.469e-04  5.484e-04    0.450  0.0264 6.604e-05 1.834e-04   0.0295 2.23e-04 2.35e-01 2.13e-01  0.0026  0.859 -6.53e-09
     384  0.250  2.384e-04  5.324e-04    0.448  0.0269 6.390e-05 1.770e-04   0.0302 2.29e-04 2.39e-01 2.14e-01  0.0025  0.862 -6.69e-09
     396  0.258  2.303e-04  5.172e-04    0.445  0.0273 6.187e-05 1.709e-04   0.0308 2.35e-04 2.41e-01 2.16e-01  0.0024  0.866 -6.47e-09
     408  0.266  2.226e-04  5.025e-04    0.443  0.0277 5.992e-05 1.651e-04   0.0315 2.40e-04 2.42e-01 2.17e-01  0.0024  0.870 -6.58e-09
     420  0.273  2.153e-04  4.883e-04    0.441  0.0280 5.805e-05 1.595e-04   0.0320 2.46e-04 2.46e-01 2.18e-01  0.0023  0.873 -6.81e-09
     432  0.281  2.083e-04  4.747e-04    0.439  0.0282 5.626e-05 1.540e-04   0.0324 2.52e-04 2.54e-01 2.19e-01  0.0023  0.877 -7.00e-09
     444  0.289  2.017e-04  4.616e-04    0.437  0.0283 5.455e-05 1.488e-04   0.0327 2.58e-04 2.60e-01 2.21e-01  0.0022  0.881 -7.49e-09
     456  0.297  1.954e-04  4.490e-04    0.435  0.0284 5.289e-05 1.437e-04   0.0328 2.64e-04 2.66e-01 2.22e-01  0.0022  0.884 -7.75e-09
     468  0.305  1.895e-04  4.368e-04    0.434  0.0286 5.130e-05 1.388e-04   0.0326 2.69e-04 2.70e-01 2.24e-01  0.0021  0.888 -7.75e-09
     480  0.312  1.837e-04  4.250e-04    0.432  0.0287 4.976e-05 1.341e-04   0.0323 2.75e-04 2.73e-01 2.25e-01  0.0021  0.891 -7.15e-09
     492  0.320  1.783e-04  4.137e-04    0.431  0.0289 4.828e-05 1.294e-04   0.0318 2.81e-04 2.74e-01 2.26e-01  0.0021  0.894 -7.12e-09
     504  0.328  1.731e-04  4.027e-04    0.430  0.0291 4.683e-05 1.250e-04   0.0312 2.86e-04 2.74e-01 2.28e-01  0.0020  0.898 -7.05e-09
     516  0.336  1.680e-04  3.922e-04    0.429  0.0294 4.543e-05 1.206e-04   0.0304 2.92e-04 2.74e-01 2.30e-01  0.0020  0.901 -7.09e-09
     528  0.344  1.632e-04  3.819e-04    0.427  0.0298 4.407e-05 1.164e-04   0.0295 2.97e-04 2.72e-01 2.31e-01  0.0020  0.905 -6.97e-09
     540  0.352  1.586e-04  3.720e-04    0.426  0.0302 4.275e-05 1.123e-04   0.0285 3.03e-04 2.69e-01 2.33e-01  0.0019  0.908 -6.85e-09
     552  0.359  1.542e-04  3.625e-04    0.425  0.0307 4.147e-05 1.084e-04   0.0273 3.09e-04 2.66e-01 2.35e-01  0.0019  0.912 -7.07e-09
     564  0.367  1.499e-04  3.533e-04    0.424  0.0313 4.023e-05 1.046e-04   0.0261 3.14e-04 2.61e-01 2.36e-01  0.0018  0.915 -6.81e-09
     576  0.375  1.458e-04  3.444e-04    0.423  0.0319 3.902e-05 1.010e-04   0.0249 3.20e-04 2.57e-01 2.38e-01  0.0018  0.918 -6.88e-09
     588  0.383  1.418e-04  3.358e-04    0.422  0.0325 3.785e-05 9.747e-05   0.0235 3.25e-04 2.51e-01 2.40e-01  0.0018  0.922 -6.92e-09
     600  0.391  1.380e-04  3.275e-04    0.421  0.0332 3.671e-05 9.409e-05   0.0222 3.30e-04 2.46e-01 2.42e-01  0.0017  0.925 -6.70e-09
     612  0.398  1.343e-04  3.195e-04    0.420  0.0339 3.561e-05 9.085e-05   0.0207 3.36e-04 2.40e-01 2.44e-01  0.0017  0.928 -6.59e-09
     624  0.406  1.307e-04  3.117e-04    0.419  0.0346 3.454e-05 8.774e-05   0.0192 3.41e-04 2.34e-01 2.46e-01  0.0017  0.932 -6.52e-09
     636  0.414  1.273e-04  3.042e-04    0.419  0.0354 3.350e-05 8.475e-05   0.0177 3.46e-04 2.29e-01 2.47e-01  0.0017  0.935 -6.42e-09
     648  0.422  1.240e-04  2.969e-04    0.418  0.0361 3.249e-05 8.188e-05   0.0161 3.51e-04 2.23e-01 2.49e-01  0.0016  0.938 -6.33e-09
     660  0.430  1.208e-04  2.899e-04    0.417  0.0369 3.152e-05 7.914e-05   0.0144 3.57e-04 2.18e-01 2.51e-01  0.0016  0.942 -6.54e-09
     672  0.437  1.177e-04  2.831e-04    0.416  0.0376 3.057e-05 7.651e-05   0.0128 3.62e-04 2.14e-01 2.53e-01  0.0016  0.945 -6.62e-09
     684  0.445  1.147e-04  2.766e-04    0.415  0.0383 2.966e-05 7.399e-05   0.0110 3.67e-04 2.09e-01 2.55e-01  0.0015  0.948 -6.57e-09
     696  0.453  1.119e-04  2.702e-04    0.414  0.0391 2.877e-05 7.157e-05   0.0093 3.72e-04 2.05e-01 2.57e-01  0.0015  0.951 -6.30e-09
     708  0.461  1.091e-04  2.641e-04    0.413  0.0398 2.791e-05 6.925e-05   0.0075 3.77e-04 2.01e-01 2.59e-01  0.0015  0.954 -6.63e-09
     720  0.469  1.064e-04  2.582e-04    0.412  0.0404 2.708e-05 6.703e-05   0.0056 3.82e-04 1.97e-01 2.60e-01  0.0015  0.957 -6.73e-09
     732  0.477  1.038e-04  2.524e-04    0.411  0.0411 2.627e-05 6.489e-05   0.0038 3.87e-04 1.93e-01 2.62e-01  0.0014  0.960 -6.77e-09
     744  0.484  1.013e-04  2.469e-04    0.410  0.0417 2.549e-05 6.284e-05   0.0019 3.92e-04 1.89e-01 2.64e-01  0.0014  0.963 -6.33e-09
     756  0.492  9.880e-05  2.415e-04    0.409  0.0424 2.474e-05 6.087e-05   0.0000 3.97e-04 1.85e-01 2.66e-01  0.0014  0.966 -6.89e-09
     768  0.500  9.643e-05  2.363e-04    0.408  0.0430 2.401e-05 5.899e-05  -0.0019 4.02e-04 1.81e-01 2.68e-01  0.0014  0.969 -6.74e-09
     780  0.508  9.413e-05  2.313e-04    0.407  0.0435 2.330e-05 5.717e-05  -0.0038 4.07e-04 1.78e-01 2.69e-01  0.0014  0.971 -6.81e-09
     792  0.516  9.189e-05  2.264e-04    0.406  0.0441 2.262e-05 5.543e-05  -0.0057 4.11e-04 1.77e-01 2.71e-01  0.0013  0.974 -6.38e-09
     804  0.523  8.973e-05  2.217e-04    0.405  0.0446 2.196e-05 5.376e-05  -0.0076 4.16e-04 1.76e-01 2.73e-01  0.0013  0.977 -6.27e-09
     816  0.531  8.762e-05  2.171e-04    0.404  0.0450 2.132e-05 5.215e-05  -0.0095 4.21e-04 1.74e-01 2.75e-01  0.0013  0.979 -6.66e-09
     828  0.539  8.557e-05  2.127e-04    0.402  0.0455 2.070e-05 5.060e-05  -0.0113 4.26e-04 1.71e-01 2.77e-01  0.0013  0.982 -6.71e-09
     840  0.547  8.359e-05  2.084e-04    0.401  0.0458 2.011e-05 4.911e-05  -0.0132 4.30e-04 1.69e-01 2.78e-01  0.0013  0.984 -6.59e-09
     852  0.555  8.165e-05  2.042e-04    0.400  0.0462 1.953e-05 4.768e-05  -0.0150 4.35e-04 1.65e-01 2.80e-01  0.0013  0.987 -6.75e-09
     864  0.562  7.977e-05  2.002e-04    0.398  0.0465 1.897e-05 4.630e-05  -0.0169 4.40e-04 1.62e-01 2.82e-01  0.0013  0.989 -6.67e-09
     876  0.570  7.794e-05  1.963e-04    0.397  0.0467 1.843e-05 4.497e-05  -0.0187 4.44e-04 1.61e-01 2.83e-01  0.0012  0.992 -6.97e-09
     888  0.578  7.616e-05  1.925e-04    0.396  0.0469 1.791e-05 4.369e-05  -0.0205 4.49e-04 1.59e-01 2.85e-01  0.0012  0.994 -6.77e-09
     900  0.586  7.443e-05  1.888e-04    0.394  0.0471 1.740e-05 4.246e-05  -0.0223 4.53e-04 1.57e-01 2.87e-01  0.0012  0.996 -6.69e-09
     912  0.594  7.274e-05  1.852e-04    0.393  0.0472 1.691e-05 4.127e-05  -0.0240 4.58e-04 1.55e-01 2.89e-01  0.0012  0.998 -6.90e-09
     924  0.602  7.109e-05  1.818e-04    0.391  0.0472 1.643e-05 4.013e-05  -0.0257 4.62e-04 1.53e-01 2.90e-01  0.0012  1.000 -6.78e-09
