Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.67 / 2.67   smooth 1.33   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  9.496e-04  1.185e-03    0.801  0.0043 5.032e-05 9.637e-05   0.0448 3.28e-05 1.22e-01 1.78e-01  0.0784  0.733 -6.28e-09
      32  0.016  8.505e-04  1.176e-03    0.723  0.0074 4.929e-05 1.037e-04   0.0472 4.22e-05 1.32e-01 2.49e-01  0.0255  0.732 -6.56e-09
      48  0.023  7.921e-04  1.173e-03    0.675  0.0083 4.884e-05 1.146e-04   0.0474 4.62e-05 1.48e-01 2.70e-01  0.0128  0.731 -6.28e-09
      64  0.031  7.404e-04  1.172e-03    0.632  0.0090 4.895e-05 1.272e-04   0.0471 4.93e-05 1.64e-01 2.69e-01  0.0083  0.730 -6.30e-09
      80  0.039  6.991e-04  1.168e-03    0.598  0.0082 4.968e-05 1.404e-04   0.0461 5.18e-05 1.80e-01 2.61e-01  0.0060  0.730 -6.47e-09
      96  0.047  6.640e-04  1.160e-03    0.572  0.0052 5.112e-05 1.534e-04   0.0452 5.61e-05 1.94e-01 2.51e-01  0.0047  0.729 -6.44e-09
     112  0.055  6.323e-04  1.148e-03    0.551  0.0026 5.316e-05 1.658e-04   0.0440 6.17e-05 2.11e-01 2.41e-01  0.0039  0.730 -6.54e-09
     128  0.062  6.033e-04  1.131e-03    0.534  0.0036 5.555e-05 1.770e-04   0.0424 6.80e-05 2.27e-01 2.31e-01  0.0034  0.732 -6.74e-09
     144  0.070  5.770e-04  1.110e-03    0.520  0.0048 5.806e-05 1.868e-04   0.0405 7.46e-05 2.40e-01 2.23e-01  0.0031  0.735 -6.72e-09
     160  0.078  5.545e-04  1.085e-03    0.511  0.0055 6.046e-05 1.948e-04   0.0387 8.19e-05 2.49e-01 2.16e-01  0.0028  0.739 -6.62e-09
     176  0.086  5.341e-04  1.058e-03    0.505  0.0061 6.257e-05 2.005e-04   0.0366 9.00e-05 2.53e-01 2.10e-01  0.0025  0.745 -6.84e-09
     192  0.094  5.152e-04  1.029e-03    0.501  0.0062 6.428e-05 2.039e-04   0.0348 9.77e-05 2.54e-01 2.06e-01  0.0024  0.751 -6.75e-09
     208  0.102  4.968e-04  9.984e-04    0.498  0.0062 6.553e-05 2.051e-04   0.0333 1.06e-04 2.58e-01 2.02e-01  0.0022  0.757 -6.95e-09
     224  0.109  4.784e-04  9.672e-04    0.495  0.0060 6.633e-05 2.043e-04   0.0318 1.14e-04 2.60e-01 2.00e-01  0.0021  0.763 -7.18e-09
     240  0.117  4.609e-04  9.358e-04    0.492  0.0064 6.668e-05 2.018e-04   0.0305 1.20e-04 2.66e-01 1.98e-01  0.0021  0.770 -7.44e-09
     256  0.125  4.437e-04  9.045e-04    0.491  0.0073 6.661e-05 1.979e-04   0.0294 1.27e-04 2.70e-01 1.97e-01  0.0020  0.776 -7.06e-09
     272  0.133  4.275e-04  8.738e-04    0.489  0.0079 6.616e-05 1.930e-04   0.0285 1.34e-04 2.71e-01 1.97e-01  0.0019  0.783 -7.22e-09
     288  0.141  4.120e-04  8.438e-04    0.488  0.0088 6.541e-05 1.873e-04   0.0279 1.41e-04 2.82e-01 1.97e-01  0.0018  0.790 -7.54e-09
     304  0.148  3.970e-04  8.147e-04    0.487  0.0099 6.441e-05 1.813e-04   0.0273 1.49e-04 2.96e-01 1.98e-01  0.0017  0.796 -7.33e-09
     320  0.156  3.822e-04  7.868e-04    0.486  0.0110 6.320e-05 1.751e-04   0.0267 1.56e-04 3.09e-01 1.98e-01  0.0017  0.803 -7.26e-09
     336  0.164  3.679e-04  7.600e-04    0.484  0.0121 6.183e-05 1.690e-04   0.0262 1.63e-04 3.14e-01 1.99e-01  0.0016  0.809 -7.35e-09
     352  0.172  3.542e-04  7.344e-04    0.482  0.0134 6.036e-05 1.629e-04   0.0258 1.70e-04 3.22e-01 2.00e-01  0.0016  0.815 -7.44e-09
     368  0.180  3.410e-04  7.101e-04    0.480  0.0148 5.881e-05 1.571e-04   0.0254 1.77e-04 3.24e-01 2.01e-01  0.0015  0.821 -7.24e-09
     384  0.188  3.282e-04  6.869e-04    0.478  0.0162 5.718e-05 1.515e-04   0.0250 1.83e-04 3.19e-01 2.02e-01  0.0015  0.826 -7.19e-09
     400  0.195  3.160e-04  6.651e-04    0.475  0.0176 5.557e-05 1.465e-04   0.0249 1.89e-04 3.44e-01 2.04e-01  0.0014  0.831 -7.19e-09
     416  0.203  3.879e-04  6.603e-04    0.587  0.0303 1.496e-04 1.848e-04   0.0467 1.96e-04 1.30e+00 2.73e-01  0.0016  0.825 -7.23e-09
     432  0.211        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 1.91e+09 0.00e+00  0.0210  0.000      -nan

  *** NON-FINITE at step 432 ***
