Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.792000e-02   eta 1.792000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 4.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 3584 steps; running 1024 (0.3 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000  0.0000 1.729e-05 3.170e-05   0.0402 1.61e-12 1.29e-01 4.01e-07  0.5061  0.913  0.00e+00
      32  0.009  9.728e-04  1.214e-03    0.801  0.0057 1.837e-05 3.385e-05   0.0450 2.70e-05 1.29e-01 2.13e-01  0.0843  0.737 -5.85e-09
      64  0.018  9.073e-04  1.216e-03    0.746  0.0087 1.858e-05 3.923e-05   0.0450 3.40e-05 1.54e-01 2.69e-01  0.0443  0.745 -5.68e-09
      96  0.027  8.387e-04  1.220e-03    0.687  0.0088 1.817e-05 4.457e-05   0.0443 4.11e-05 1.71e-01 2.72e-01  0.0312  0.755 -5.73e-09
     128  0.036  7.798e-04  1.221e-03    0.639  0.0090 1.793e-05 4.966e-05   0.0440 5.24e-05 1.91e-01 2.63e-01  0.0246  0.764 -5.64e-09
     160  0.045  7.336e-04  1.214e-03    0.604  0.0059 1.823e-05 5.477e-05   0.0434 6.92e-05 2.11e-01 2.49e-01  0.0206  0.771 -5.82e-09
     192  0.054  6.880e-04  1.201e-03    0.573  0.0008 1.891e-05 5.966e-05   0.0423 8.48e-05 2.23e-01 2.36e-01  0.0180  0.778 -5.64e-09
     224  0.062  6.473e-04  1.181e-03    0.548  0.0037 1.975e-05 6.404e-05   0.0408 1.01e-04 2.28e-01 2.25e-01  0.0162  0.787 -5.71e-09
     256  0.071  6.122e-04  1.155e-03    0.530  0.0084 2.069e-05 6.776e-05   0.0387 1.16e-04 2.36e-01 2.15e-01  0.0147  0.796 -5.68e-09
     288  0.080  5.833e-04  1.124e-03    0.519  0.0097 2.156e-05 7.058e-05   0.0368 1.33e-04 2.39e-01 2.07e-01  0.0136  0.805 -5.55e-09
     320  0.089  5.577e-04  1.089e-03    0.512  0.0092 2.227e-05 7.231e-05   0.0345 1.46e-04 2.43e-01 2.00e-01  0.0127  0.816 -5.60e-09
     352  0.098  5.322e-04  1.052e-03    0.506  0.0085 2.277e-05 7.301e-05   0.0328 1.62e-04 2.39e-01 1.96e-01  0.0120  0.824 -5.62e-09
     384  0.107  5.063e-04  1.014e-03    0.500  0.0082 2.306e-05 7.275e-05   0.0309 1.75e-04 2.34e-01 1.92e-01  0.0114  0.833 -5.83e-09
     416  0.116  4.827e-04  9.747e-04    0.495  0.0083 2.313e-05 7.165e-05   0.0291 1.86e-04 2.35e-01 1.90e-01  0.0109  0.841 -5.78e-09
     448  0.125  4.606e-04  9.361e-04    0.492  0.0102 2.297e-05 6.984e-05   0.0275 1.97e-04 2.40e-01 1.89e-01  0.0104  0.849 -5.77e-09
     480  0.134  4.406e-04  8.981e-04    0.491  0.0108 2.263e-05 6.751e-05   0.0266 2.10e-04 2.46e-01 1.89e-01  0.0101  0.858 -5.75e-09
     512  0.143  4.204e-04  8.611e-04    0.488  0.0114 2.216e-05 6.483e-05   0.0260 2.23e-04 2.53e-01 1.90e-01  0.0098  0.867 -5.81e-09
     544  0.152  4.004e-04  8.256e-04    0.485  0.0120 2.159e-05 6.202e-05   0.0256 2.35e-04 2.62e-01 1.90e-01  0.0095  0.874 -5.81e-09
     576  0.161  3.817e-04  7.918e-04    0.482  0.0130 2.095e-05 5.918e-05   0.0255 2.46e-04 2.72e-01 1.92e-01  0.0091  0.882 -5.74e-09
     608  0.170  3.646e-04  7.596e-04    0.480  0.0141 2.028e-05 5.638e-05   0.0255 2.55e-04 2.81e-01 1.93e-01  0.0088  0.889 -5.73e-09
     640  0.179  3.484e-04  7.294e-04    0.478  0.0164 1.960e-05 5.374e-05   0.0259 2.63e-04 2.95e-01 1.94e-01  0.0086  0.894 -5.67e-09
     672  0.188        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 1.24e+08 0.00e+00  0.0141  0.000       nan

  *** NON-FINITE at step 672 ***
