Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.792000e-02   eta 1.792000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 2.50   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 3584 steps; running 1024 (0.3 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000  0.0000 1.729e-05 3.170e-05   0.0402 1.61e-12 1.29e-01 4.01e-07  0.5061  0.913  0.00e+00
      32  0.009  8.798e-04  1.169e-03    0.752  0.0067 1.838e-05 3.175e-05   0.0421 1.20e-05 1.23e-01 3.96e-01  0.0026  0.728 -5.88e-09
      64  0.018  7.993e-04  1.161e-03    0.689  0.0094 1.858e-05 3.586e-05   0.0404 1.51e-05 1.37e-01 3.70e-01  0.0008  0.726 -5.70e-09
      96  0.027  7.358e-04  1.159e-03    0.635  0.0098 1.801e-05 4.119e-05   0.0388 1.75e-05 1.55e-01 3.35e-01  0.0008  0.722 -5.59e-09
     128  0.036  6.845e-04  1.155e-03    0.593  0.0095 1.781e-05 4.662e-05   0.0378 1.75e-05 1.75e-01 3.06e-01  0.0006  0.719 -5.45e-09
     160  0.045  6.451e-04  1.147e-03    0.563  0.0058 1.830e-05 5.195e-05   0.0375 1.86e-05 1.95e-01 2.82e-01  0.0005  0.717 -5.48e-09
     192  0.054  6.090e-04  1.133e-03    0.537  0.0017 1.922e-05 5.704e-05   0.0368 2.50e-05 2.13e-01 2.62e-01  0.0004  0.716 -5.54e-09
     224  0.062  5.759e-04  1.114e-03    0.517  0.0038 2.037e-05 6.163e-05   0.0354 3.18e-05 2.27e-01 2.47e-01  0.0004  0.718 -5.68e-09
     256  0.071  5.474e-04  1.090e-03    0.502  0.0059 2.156e-05 6.566e-05   0.0335 3.86e-05 2.41e-01 2.34e-01  0.0004  0.721 -5.71e-09
     288  0.080  5.242e-04  1.062e-03    0.493  0.0070 2.264e-05 6.889e-05   0.0318 4.76e-05 2.47e-01 2.23e-01  0.0003  0.726 -5.79e-09
     320  0.089  5.038e-04  1.031e-03    0.489  0.0068 2.361e-05 7.112e-05   0.0302 5.41e-05 2.54e-01 2.15e-01  0.0002  0.733 -5.87e-09
     352  0.098  4.837e-04  9.979e-04    0.485  0.0064 2.433e-05 7.232e-05   0.0290 6.27e-05 2.57e-01 2.09e-01  0.0002  0.739 -5.88e-09
     384  0.107  4.629e-04  9.637e-04    0.480  0.0058 2.485e-05 7.254e-05   0.0277 7.01e-05 2.56e-01 2.05e-01  0.0002  0.747 -5.75e-09
     416  0.116  4.434e-04  9.289e-04    0.477  0.0065 2.514e-05 7.190e-05   0.0266 7.60e-05 2.57e-01 2.02e-01  0.0002  0.754 -5.72e-09
     448  0.125  4.249e-04  8.944e-04    0.475  0.0081 2.518e-05 7.057e-05   0.0255 8.23e-05 2.75e-01 2.01e-01  0.0002  0.762 -5.88e-09
     480  0.134  4.081e-04  8.605e-04    0.474  0.0089 2.502e-05 6.871e-05   0.0247 8.97e-05 2.92e-01 2.00e-01  0.0002  0.771 -5.84e-09
     512  0.143  2.865e-03  1.025e-01    0.028  0.0028 2.451e-03 3.824e-01   0.1717 9.81e-05 2.90e+02 4.78e-02  0.0002  0.070 -1.84e+01
     544  0.152        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 1.80e+04 0.00e+00  0.0018  0.000      -nan

  *** NON-FINITE at step 544 ***
