Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 1.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  9.603e-04  1.185e-03    0.811  0.0045 5.067e-05 9.714e-05   0.0449 2.94e-05 1.22e-01 2.25e-01  0.0273  0.729 -5.92e-09
      32  0.016  8.771e-04  1.180e-03    0.743  0.0077 5.005e-05 1.062e-04   0.0469 3.72e-05 1.43e-01 2.82e-01  0.0094  0.730 -5.76e-09
      48  0.023  8.229e-04  1.181e-03    0.697  0.0085 5.011e-05 1.188e-04   0.0468 4.01e-05 1.63e-01 2.90e-01  0.0054  0.730 -6.18e-09
      64  0.031  7.720e-04  1.182e-03    0.653  0.0088 5.084e-05 1.324e-04   0.0463 4.31e-05 1.85e-01 2.82e-01  0.0039  0.729 -6.12e-09
      80  0.039  7.322e-04  1.180e-03    0.620  0.0076 5.222e-05 1.464e-04   0.0455 4.67e-05 2.07e-01 2.70e-01  0.0030  0.729 -6.33e-09
      96  0.047  6.983e-04  1.174e-03    0.595  0.0040 5.433e-05 1.601e-04   0.0448 5.34e-05 2.30e-01 2.56e-01  0.0025  0.729 -6.49e-09
     112  0.055  6.664e-04  1.163e-03    0.573  0.0007 5.698e-05 1.732e-04   0.0437 6.10e-05 2.51e-01 2.44e-01  0.0022  0.731 -6.20e-09
     128  0.062  6.372e-04  1.147e-03    0.556  0.0016 5.993e-05 1.852e-04   0.0422 6.89e-05 2.68e-01 2.33e-01  0.0020  0.734 -5.96e-09
     144  0.070  6.111e-04  1.127e-03    0.542  0.0027 6.298e-05 1.957e-04   0.0404 7.69e-05 2.86e-01 2.24e-01  0.0018  0.737 -5.92e-09
     160  0.078  5.891e-04  1.104e-03    0.534  0.0030 6.587e-05 2.043e-04   0.0387 8.56e-05 3.01e-01 2.16e-01  0.0017  0.742 -5.95e-09
     176  0.086  5.693e-04  1.077e-03    0.529  0.0027 6.843e-05 2.107e-04   0.0368 9.44e-05 3.23e-01 2.10e-01  0.0015  0.748 -6.16e-09
     192  0.094  5.507e-04  1.048e-03    0.525  0.0018 7.054e-05 2.147e-04   0.0350 1.03e-04 3.43e-01 2.05e-01  0.0015  0.754 -5.98e-09
     208  0.102  5.323e-04  1.018e-03    0.523  0.0008 7.218e-05 2.165e-04   0.0335 1.12e-04 3.58e-01 2.01e-01  0.0014  0.760 -6.25e-09
     224  0.109  5.137e-04  9.873e-04    0.520 -0.0002 7.334e-05 2.162e-04   0.0320 1.21e-04 3.76e-01 1.99e-01  0.0014  0.766 -6.13e-09
     240  0.117  4.961e-04  9.560e-04    0.519 -0.0005 7.406e-05 2.141e-04   0.0306 1.28e-04 3.86e-01 1.97e-01  0.0013  0.772 -6.13e-09
     256  0.125  4.790e-04  9.250e-04    0.518 -0.0001 7.438e-05 2.109e-04   0.0296 1.35e-04 4.08e-01 1.96e-01  0.0013  0.779 -6.37e-09
     272  0.133  1.468e+01  6.980e+00    2.102  0.0001 1.652e+01 1.769e+01   0.0093 1.89e-03 8.79e+02 2.72e-01  0.0044  0.040 -7.22e+05
     288  0.141        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 3.72e+04 0.00e+00  0.0127  0.000       nan

  *** NON-FINITE at step 288 ***
