Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 4.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  9.588e-04  1.202e-03    0.798  0.0043 5.058e-05 9.717e-05   0.0449 3.32e-05 1.24e-01 9.18e-02  0.1561  0.745 -5.71e-09
      32  0.016  8.723e-04  1.196e-03    0.730  0.0075 4.965e-05 1.056e-04   0.0475 4.31e-05 1.33e-01 1.54e-01  0.0749  0.739 -5.63e-09
      48  0.023  8.142e-04  1.195e-03    0.681  0.0083 4.899e-05 1.172e-04   0.0482 4.77e-05 1.44e-01 1.85e-01  0.0481  0.741 -5.53e-09
      64  0.031  7.593e-04  1.196e-03    0.635  0.0089 4.867e-05 1.297e-04   0.0483 5.27e-05 1.56e-01 1.99e-01  0.0353  0.743 -5.69e-09
      80  0.039  7.155e-04  1.192e-03    0.600  0.0083 4.886e-05 1.423e-04   0.0477 5.85e-05 1.70e-01 2.03e-01  0.0280  0.745 -5.86e-09
      96  0.047  6.778e-04  1.184e-03    0.572  0.0053 4.972e-05 1.545e-04   0.0469 6.74e-05 1.84e-01 2.03e-01  0.0233  0.747 -5.99e-09
     112  0.055  6.422e-04  1.171e-03    0.548  0.0025 5.114e-05 1.661e-04   0.0458 7.67e-05 1.93e-01 2.00e-01  0.0201  0.750 -5.95e-09
     128  0.062  6.098e-04  1.153e-03    0.529  0.0045 5.286e-05 1.765e-04   0.0443 8.68e-05 2.00e-01 1.96e-01  0.0180  0.754 -5.62e-09
     144  0.070  5.807e-04  1.131e-03    0.513  0.0071 5.469e-05 1.853e-04   0.0423 9.70e-05 2.05e-01 1.92e-01  0.0162  0.759 -5.46e-09
     160  0.078  5.561e-04  1.106e-03    0.503  0.0087 5.643e-05 1.923e-04   0.0405 1.08e-04 2.07e-01 1.89e-01  0.0149  0.765 -5.55e-09
     176  0.086  5.339e-04  1.077e-03    0.496  0.0098 5.788e-05 1.969e-04   0.0383 1.18e-04 2.08e-01 1.86e-01  0.0138  0.772 -5.50e-09
     192  0.094  5.132e-04  1.046e-03    0.491  0.0102 5.896e-05 1.992e-04   0.0364 1.28e-04 2.09e-01 1.84e-01  0.0129  0.779 -5.54e-09
     208  0.102  4.928e-04  1.014e-03    0.486  0.0105 5.961e-05 1.995e-04   0.0348 1.38e-04 2.07e-01 1.83e-01  0.0122  0.785 -5.60e-09
     224  0.109  4.724e-04  9.808e-04    0.482  0.0106 5.982e-05 1.978e-04   0.0332 1.47e-04 2.04e-01 1.82e-01  0.0117  0.792 -5.54e-09
     240  0.117  4.532e-04  9.477e-04    0.478  0.0114 5.961e-05 1.944e-04   0.0318 1.55e-04 2.11e-01 1.82e-01  0.0112  0.799 -5.77e-09
     256  0.125  4.347e-04  9.150e-04    0.475  0.0129 5.902e-05 1.897e-04   0.0306 1.63e-04 2.17e-01 1.83e-01  0.0107  0.806 -5.85e-09
     272  0.133  4.176e-04  8.829e-04    0.473  0.0138 5.811e-05 1.840e-04   0.0298 1.72e-04 2.22e-01 1.84e-01  0.0103  0.813 -5.78e-09
     288  0.141  4.012e-04  8.515e-04    0.471  0.0148 5.694e-05 1.776e-04   0.0293 1.81e-04 2.26e-01 1.85e-01  0.0099  0.820 -5.65e-09
     304  0.148  3.851e-04  8.211e-04    0.469  0.0160 5.556e-05 1.710e-04   0.0289 1.90e-04 2.29e-01 1.86e-01  0.0096  0.827 -5.68e-09
     320  0.156  3.695e-04  7.919e-04    0.467  0.0172 5.404e-05 1.642e-04   0.0286 1.98e-04 2.33e-01 1.88e-01  0.0093  0.834 -5.78e-09
     336  0.164  3.546e-04  7.639e-04    0.464  0.0183 5.242e-05 1.575e-04   0.0284 2.07e-04 2.37e-01 1.90e-01  0.0090  0.840 -5.64e-09
     352  0.172  3.404e-04  7.372e-04    0.462  0.0196 5.077e-05 1.510e-04   0.0283 2.15e-04 2.38e-01 1.92e-01  0.0088  0.846 -5.50e-09
     368  0.180  3.269e-04  7.119e-04    0.459  0.0212 4.910e-05 1.447e-04   0.0284 2.21e-04 2.37e-01 1.93e-01  0.0085  0.851 -5.46e-09
