Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 1.33   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
      16  0.008  9.313e-04  1.181e-03    0.789  0.0048 5.066e-05 9.630e-05   0.0447 2.75e-05 1.22e-01 2.12e-01  0.0477  0.730 -5.79e-09
      32  0.016  8.391e-04  1.172e-03    0.716  0.0079 4.984e-05 1.038e-04   0.0465 3.45e-05 1.32e-01 2.78e-01  0.0135  0.729 -5.91e-09
      48  0.023  7.817e-04  1.169e-03    0.669  0.0088 4.953e-05 1.150e-04   0.0464 3.74e-05 1.48e-01 2.91e-01  0.0066  0.728 -5.99e-09
      64  0.031  7.301e-04  1.168e-03    0.625  0.0093 4.953e-05 1.277e-04   0.0459 3.98e-05 1.62e-01 2.85e-01  0.0043  0.726 -5.76e-09
      80  0.039  6.897e-04  1.164e-03    0.593  0.0083 5.010e-05 1.408e-04   0.0449 4.17e-05 1.77e-01 2.73e-01  0.0031  0.725 -6.01e-09
      96  0.047  6.553e-04  1.155e-03    0.567  0.0050 5.149e-05 1.538e-04   0.0441 4.58e-05 1.93e-01 2.60e-01  0.0024  0.725 -6.21e-09
     112  0.055  6.235e-04  1.143e-03    0.546  0.0023 5.352e-05 1.662e-04   0.0429 5.15e-05 2.09e-01 2.48e-01  0.0021  0.725 -6.05e-09
     128  0.062  5.944e-04  1.126e-03    0.528  0.0037 5.592e-05 1.773e-04   0.0414 5.79e-05 2.22e-01 2.38e-01  0.0018  0.727 -6.05e-09
     144  0.070  5.683e-04  1.105e-03    0.514  0.0052 5.845e-05 1.871e-04   0.0394 6.44e-05 2.31e-01 2.28e-01  0.0017  0.730 -5.93e-09
     160  0.078  5.463e-04  1.081e-03    0.505  0.0062 6.084e-05 1.950e-04   0.0377 7.19e-05 2.37e-01 2.21e-01  0.0014  0.734 -5.95e-09
     176  0.086  5.265e-04  1.054e-03    0.500  0.0067 6.296e-05 2.006e-04   0.0357 7.95e-05 2.47e-01 2.14e-01  0.0013  0.740 -5.71e-09
     192  0.094  5.080e-04  1.025e-03    0.496  0.0066 6.467e-05 2.040e-04   0.0341 8.70e-05 2.51e-01 2.10e-01  0.0012  0.746 -5.95e-09
     208  0.102  4.898e-04  9.944e-04    0.493  0.0065 6.592e-05 2.052e-04   0.0327 9.51e-05 2.55e-01 2.06e-01  0.0012  0.752 -5.36e-09
     224  0.109  4.714e-04  9.635e-04    0.489  0.0063 6.672e-05 2.044e-04   0.0313 1.02e-04 2.58e-01 2.03e-01  0.0011  0.759 -5.25e-09
     240  0.117  4.540e-04  9.322e-04    0.487  0.0069 6.708e-05 2.019e-04   0.0301 1.09e-04 2.61e-01 2.02e-01  0.0011  0.765 -4.97e-09
     256  0.125  4.370e-04  9.013e-04    0.485  0.0079 6.699e-05 1.980e-04   0.0290 1.15e-04 2.62e-01 2.01e-01  0.0011  0.772 -5.13e-09
     272  0.133  4.212e-04  8.708e-04    0.484  0.0087 6.651e-05 1.931e-04   0.0282 1.22e-04 2.70e-01 2.00e-01  0.0010  0.779 -5.02e-09
     288  0.141  4.061e-04  8.410e-04    0.483  0.0096 6.574e-05 1.874e-04   0.0277 1.29e-04 2.82e-01 2.00e-01  0.0010  0.786 -5.38e-09
     304  0.148  3.911e-04  8.122e-04    0.482  0.0108 6.470e-05 1.814e-04   0.0271 1.36e-04 2.94e-01 2.01e-01  0.0009  0.793 -5.41e-09
     320  0.156  3.765e-04  7.845e-04    0.480  0.0119 6.346e-05 1.752e-04   0.0266 1.44e-04 3.01e-01 2.01e-01  0.0009  0.800 -5.38e-09
     336  0.164  3.623e-04  7.580e-04    0.478  0.0130 6.206e-05 1.690e-04   0.0261 1.51e-04 3.06e-01 2.02e-01  0.0009  0.806 -5.36e-09
     352  0.172  3.488e-04  7.326e-04    0.476  0.0144 6.056e-05 1.630e-04   0.0257 1.58e-04 3.13e-01 2.03e-01  0.0008  0.812 -5.44e-09
     368  0.180  3.358e-04  7.086e-04    0.474  0.0160 5.898e-05 1.572e-04   0.0252 1.65e-04 3.11e-01 2.04e-01  0.0008  0.818 -5.56e-09
     384  0.188  3.232e-04  6.857e-04    0.471  0.0174 5.733e-05 1.517e-04   0.0249 1.71e-04 3.04e-01 2.04e-01  0.0008  0.823 -5.78e-09
     400  0.195  3.111e-04  6.639e-04    0.469  0.0187 5.564e-05 1.463e-04   0.0246 1.77e-04 3.01e-01 2.05e-01  0.0008  0.829 -5.68e-09
     416  0.203  2.995e-04  6.431e-04    0.466  0.0199 5.392e-05 1.411e-04   0.0245 1.83e-04 2.89e-01 2.06e-01  0.0007  0.834 -5.77e-09
     432  0.211  2.885e-04  6.235e-04    0.463  0.0212 5.231e-05 1.368e-04   0.0248 1.90e-04 3.47e-01 2.09e-01  0.0007  0.839 -5.45e-09
     448  0.219  2.790e-04  6.075e-04    0.459  0.0247 5.226e-05 1.394e-04   0.0285 1.96e-04 6.40e-01 2.32e-01  0.0008  0.841 -5.85e-09
     464  0.227  1.205e+01  8.814e+06    0.000  0.0003 1.320e+01 2.987e+07   0.0238 9.68e-02 1.14e+06 1.75e-01  0.0062  0.004 -2.55e+18
     480  0.234        nan        nan    0.000  0.0000       nan       nan   0.0000      nan 4.33e+03 0.00e+00  0.0129  0.000       nan

  *** NON-FINITE at step 480 ***
