# Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
# precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
# N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
# nu 1.792000e-02   eta 1.792000e-02   magnetic wall: INSULATING (B = 0)
# eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
# one turnover 2R/u0 = 3584 steps; running 7168 (2.0 turnovers)
#
# step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
0  0.000  1.250e-03  1.250e-03    1.000  0.0000 1.729e-05 3.170e-05   0.0402 1.61e-12 1.29e-01 4.01e-07  0.5061  0.913  0.00e+00
28  0.008  9.897e-04  1.146e-03    0.864  0.0048 1.840e-05 3.654e-05   0.0426 2.59e-04 1.20e-01 2.61e-01  0.4358  0.055 -5.75e-09
56  0.016  9.287e-04  1.123e-03    0.827  0.0077 1.900e-05 4.089e-05   0.0441 3.46e-04 1.22e-01 3.02e-01  0.3719  0.033 -6.92e-09
84  0.023  8.729e-04  1.108e-03    0.788  0.0083 1.914e-05 4.459e-05   0.0450 4.12e-04 1.28e-01 3.00e-01  0.3395  0.026 -2.80e-08
112  0.031  8.170e-04  1.095e-03    0.746  0.0088 1.901e-05 4.799e-05   0.0462 4.75e-04 1.33e-01 2.88e-01  0.3177  0.023 -7.49e-08
140  0.039  7.738e-04  1.080e-03    0.716  0.0071 1.912e-05 5.144e-05   0.0471 5.36e-04 1.37e-01 2.75e-01  0.3027  0.021 -1.30e-07
168  0.047  7.349e-04  1.063e-03    0.692  0.0026 1.953e-05 5.491e-05   0.0479 5.93e-04 1.44e-01 2.61e-01  0.2884  0.019 -1.83e-07
196  0.055  6.943e-04  1.042e-03    0.666 -0.0006 2.008e-05 5.826e-05   0.0481 6.44e-04 1.46e-01 2.48e-01  0.2791  0.018 -2.31e-07
224  0.062  6.583e-04  1.018e-03    0.647  0.0036 2.070e-05 6.130e-05   0.0478 6.93e-04 1.51e-01 2.37e-01  0.2717  0.017 -2.73e-07
252  0.070  6.255e-04  9.908e-04    0.631  0.0080 2.134e-05 6.397e-05   0.0469 7.41e-04 1.57e-01 2.28e-01  0.2652  0.017 -3.08e-07
280  0.078  5.977e-04  9.618e-04    0.621  0.0096 2.188e-05 6.609e-05   0.0460 7.89e-04 1.56e-01 2.20e-01  0.2594  0.016 -3.40e-07
308  0.086  5.726e-04  9.301e-04    0.616  0.0102 2.232e-05 6.746e-05   0.0446 8.35e-04 1.54e-01 2.14e-01  0.2507  0.016 -3.69e-07
336  0.094  5.480e-04  8.972e-04    0.611  0.0100 2.260e-05 6.802e-05   0.0435 8.80e-04 1.48e-01 2.09e-01  0.2446  0.016 -3.94e-07
364  0.102  5.234e-04  8.642e-04    0.606  0.0108 2.276e-05 6.794e-05   0.0425 9.24e-04 1.44e-01 2.05e-01  0.2431  0.015 -4.18e-07
392  0.109  4.988e-04  8.309e-04    0.600  0.0115 2.278e-05 6.722e-05   0.0414 9.65e-04 1.41e-01 2.02e-01  0.2413  0.015 -4.40e-07
420  0.117  4.764e-04  7.977e-04    0.597  0.0127 2.262e-05 6.590e-05   0.0405 1.00e-03 1.38e-01 2.01e-01  0.2400  0.015 -4.62e-07
448  0.125  4.552e-04  7.652e-04    0.595  0.0144 2.228e-05 6.408e-05   0.0397 1.04e-03 1.40e-01 2.00e-01  0.2385  0.014 -4.83e-07
476  0.133  4.358e-04  7.337e-04    0.594  0.0154 2.181e-05 6.191e-05   0.0393 1.08e-03 1.48e-01 2.00e-01  0.2376  0.014 -5.04e-07
504  0.141  4.166e-04  7.033e-04    0.592  0.0166 2.125e-05 5.949e-05   0.0391 1.11e-03 1.58e-01 2.01e-01  0.2373  0.014 -5.25e-07
532  0.148  3.973e-04  6.742e-04    0.589  0.0183 2.063e-05 5.699e-05   0.0390 1.14e-03 1.67e-01 2.02e-01  0.2368  0.014 -5.46e-07
560  0.156  3.789e-04  6.465e-04    0.586  0.0203 1.996e-05 5.447e-05   0.0388 1.17e-03 1.77e-01 2.03e-01  0.2360  0.013 -5.67e-07
588  0.164  3.617e-04  6.201e-04    0.583  0.0220 1.926e-05 5.198e-05   0.0389 1.20e-03 1.86e-01 2.04e-01  0.2346  0.013 -5.88e-07
