# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
0 0.000000 1.25000000e-03 1.25000000e-03 1.000000 0.000000 1.708845e-04 3.275967e-04 0.127527 4.941705e-17 1.083204e-01 2.866398e-16 0.502643 0.904077 0.000000e+00
200 0.260417 1.87797652e-04 4.90562758e-04 0.382821 -0.106601 7.067076e-05 2.126519e-04 0.133093 6.500265e-04 1.074253e-01 2.780185e-01 0.003918 0.857822 -1.214772e-06
400 0.520833 8.51833256e-05 2.22131447e-04 0.383482 -0.125792 2.714149e-05 6.879369e-05 0.193987 1.110414e-03 7.005683e-02 3.520892e-01 0.002543 0.972857 2.707798e-06
600 0.781250 4.39704747e-05 1.28408016e-04 0.342428 -0.100208 1.300778e-05 3.376901e-05 0.243579 1.467905e-03 6.377181e-02 3.795676e-01 0.001912 1.047089 3.030481e-06
800 1.041667 2.28363878e-05 8.40332988e-05 0.271754 -0.087023 6.359067e-06 1.863703e-05 0.252306 1.750082e-03 4.805736e-02 3.994000e-01 0.001660 1.110219 2.835214e-06
1000 1.302083 1.24538455e-05 5.97045893e-05 0.208591 -0.079299 3.265298e-06 1.124827e-05 0.245039 1.980974e-03 3.318805e-02 4.122907e-01 0.001452 1.166376 2.567699e-06
1200 1.562500 7.21989528e-06 4.50792768e-05 0.160160 -0.071640 1.792987e-06 7.325118e-06 0.240997 2.176085e-03 2.357299e-02 4.200483e-01 0.001319 1.216066 2.311089e-06
1400 1.822917 4.40997771e-06 3.57531002e-05 0.123345 -0.062750 1.048459e-06 5.084109e-06 0.241579 2.344590e-03 2.058284e-02 4.250020e-01 0.001236 1.258217 2.087406e-06
1600 2.083333 2.80522055e-06 2.95439244e-05 0.094951 -0.052431 6.463755e-07 3.724033e-06 0.243755 2.491768e-03 1.883652e-02 4.289589e-01 0.001053 1.292480 1.899708e-06
1800 2.343750 1.84411428e-06 2.52594382e-05 0.073007 -0.041099 4.170097e-07 2.852096e-06 0.244294 2.620983e-03 1.739177e-02 4.333854e-01 0.000972 1.318252 1.744147e-06
2000 2.604167 1.24848402e-06 2.22104549e-05 0.056212 -0.029701 2.801526e-07 2.265535e-06 0.241241 2.734667e-03 1.616695e-02 4.391876e-01 0.000896 1.335490 1.615407e-06
2200 2.864583 8.70613617e-07 1.99813900e-05 0.043571 -0.019322 1.953530e-07 1.854369e-06 0.234122 2.834759e-03 1.516640e-02 4.467331e-01 0.000863 1.345210 1.508519e-06
2400 3.125000 6.27381333e-07 1.83123270e-05 0.034260 -0.010807 1.411359e-07 1.555788e-06 0.223512 2.922886e-03 1.465693e-02 4.560384e-01 0.000855 1.348792 1.419307e-06
