# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
0 0.000000 1.25000000e-03 1.25000000e-03 1.000000 0.000000 1.708845e-04 3.275967e-04 0.127527 4.941705e-17 1.083204e-01 2.866398e-16 0.502643 0.904077 0.000000e+00
200 0.260417 1.76499062e-04 3.05612325e-04 0.577526 -0.135874 5.950881e-05 1.593347e-04 0.157948 1.054737e-03 6.612498e-02 2.656874e-01 0.273776 0.009560 -4.367920e-06
400 0.520833 7.81904990e-05 1.18154968e-04 0.661762 -0.150079 2.196923e-05 4.536056e-05 0.214816 1.687528e-03 6.880192e-02 3.423431e-01 0.268021 0.006348 -1.383361e-06
600 0.781250 3.83187519e-05 5.90444333e-05 0.648982 -0.133411 1.011526e-05 1.993025e-05 0.226191 1.909656e-03 5.284397e-02 3.828258e-01 0.278578 0.005408 -2.973322e-07
800 1.041667 1.86737400e-05 3.33181570e-05 0.560467 -0.125504 4.577144e-06 9.700083e-06 0.187391 1.861798e-03 3.363738e-02 4.208156e-01 0.291824 0.004670 1.549809e-07
1000 1.302083 9.50559707e-06 2.03634362e-05 0.466797 -0.110014 2.170804e-06 5.089109e-06 0.139674 1.729288e-03 2.210844e-02 4.571519e-01 0.304799 0.004056 3.676924e-07
1200 1.562500 5.11040923e-06 1.31535862e-05 0.388518 -0.087101 1.088083e-06 2.824274e-06 0.095479 1.585853e-03 1.685732e-02 4.936611e-01 0.320769 0.003577 4.754613e-07
1400 1.822917 2.90411355e-06 8.87611201e-06 0.327183 -0.060821 5.750544e-07 1.642818e-06 0.058567 1.451762e-03 1.295237e-02 5.299304e-01 0.334364 0.003207 5.331847e-07
1600 2.083333 1.73843286e-06 6.21689883e-06 0.279630 -0.035151 3.205946e-07 1.000322e-06 0.031128 1.330884e-03 1.030807e-02 5.638681e-01 0.349113 0.002912 5.659256e-07
1800 2.343750 1.08832635e-06 4.49576664e-06 0.242078 -0.012478 1.882857e-07 6.369247e-07 0.012953 1.222758e-03 8.335055e-03 5.936987e-01 0.363793 0.002673 5.855475e-07
2000 2.604167 7.06091092e-07 3.34067201e-06 0.211362 0.006241 1.157955e-07 4.228126e-07 0.002274 1.125982e-03 7.174410e-03 6.185995e-01 0.376581 0.002478 5.979164e-07
2200 2.864583 4.70675180e-07 2.54000183e-06 0.185305 0.020955 7.392726e-08 2.913284e-07 -0.003156 1.039109e-03 6.263523e-03 6.386333e-01 0.386886 0.002316 6.060624e-07
2400 3.125000 3.20160492e-07 1.96907395e-06 0.162594 0.032066 4.857978e-08 2.072920e-07 -0.005377 9.608501e-04 5.487908e-03 6.544373e-01 0.396198 0.002182 6.116245e-07
