# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB dmass
0 0.000000 1.25000000e-03 1.25000000e-03 1.000000 0.000000 9.758723e-05 1.875318e-04 0.117575 7.748348e-17 1.087119e-01 3.684551e-16 0.502868 0.000000e+00
32 0.031250 6.86891432e-04 1.10491122e-03 0.621671 -0.016390 8.571782e-05 2.064989e-04 0.128504 9.209833e-05 1.065636e-01 2.282088e-01 0.030438 -2.001806e-05
64 0.062500 5.29845955e-04 1.04856050e-03 0.505308 -0.024191 8.089439e-05 2.432217e-04 0.126170 1.891755e-04 1.051542e-01 2.517707e-01 0.013599 -1.353716e-05
96 0.093750 4.31425666e-04 9.63282278e-04 0.447870 -0.028557 7.854649e-05 2.554209e-04 0.124484 2.785044e-04 1.054832e-01 2.492654e-01 0.009017 -1.003285e-05
128 0.125000 3.65508844e-04 8.60764926e-04 0.424633 -0.039285 7.541006e-05 2.434648e-04 0.119224 3.565604e-04 1.145513e-01 2.487748e-01 0.007053 -8.256158e-06
160 0.156250 3.15746249e-04 7.59124213e-04 0.415935 -0.053191 6.995241e-05 2.184555e-04 0.111486 4.335584e-04 1.225314e-01 2.523250e-01 0.005842 -6.076088e-06
192 0.187500 2.75004557e-04 6.67715715e-04 0.411859 -0.070574 6.285821e-05 1.903014e-04 0.105947 5.083324e-04 1.247596e-01 2.583453e-01 0.005096 -4.651241e-06
224 0.218750 2.40772987e-04 5.88827092e-04 0.408903 -0.087610 5.532641e-05 1.636209e-04 0.105587 5.778553e-04 1.271965e-01 2.657850e-01 0.004585 -3.072632e-06
256 0.250000 2.11861427e-04 5.21453658e-04 0.406290 -0.103235 4.819211e-05 1.398860e-04 0.110267 6.442867e-04 1.247511e-01 2.741554e-01 0.004168 -2.007685e-06
288 0.281250 1.87536225e-04 4.64031776e-04 0.404145 -0.116158 4.180959e-05 1.193944e-04 0.117846 7.089319e-04 1.191270e-01 2.832249e-01 0.003765 -9.719022e-07
320 0.312500 1.67164616e-04 4.14914137e-04 0.402890 -0.125977 3.629058e-05 1.019736e-04 0.126156 7.711018e-04 1.128393e-01 2.927871e-01 0.003509 -2.479319e-07
352 0.343750 1.50114944e-04 3.72857211e-04 0.402607 -0.132749 3.161528e-05 8.735819e-05 0.133736 8.310841e-04 1.071766e-01 3.025841e-01 0.003253 4.055044e-07
384 0.375000 1.35792310e-04 3.36717364e-04 0.403283 -0.136760 2.769938e-05 7.519416e-05 0.140062 8.888980e-04 1.007571e-01 3.123550e-01 0.003081 8.841059e-07
416 0.406250 1.23658710e-04 3.05609263e-04 0.404630 -0.138380 2.444144e-05 6.515882e-05 0.145243 9.448025e-04 9.418088e-02 3.217655e-01 0.002967 1.291672e-06
448 0.437500 1.13247901e-04 2.78718612e-04 0.406316 -0.138105 2.173425e-05 5.691734e-05 0.149748 9.987803e-04 8.776470e-02 3.305196e-01 0.002826 1.598910e-06
