# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
0 0.000000 1.25000000e-03 1.25000000e-03 1.000000 0.000000 9.169953e-05 1.688788e-04 0.039834 1.191987e-16 1.284320e-01 3.803235e-16 0.507191 0.913241 0.000000e+00
16 0.010417 8.96903599e-04 1.17509614e-03 0.763260 0.005500 8.582435e-05 1.715264e-04 0.046515 3.641546e-05 1.240613e-01 1.307856e-01 0.069071 0.735209 -1.371865e-05
32 0.020833 8.02568421e-04 1.16818170e-03 0.687024 0.007951 8.272190e-05 1.910262e-04 0.049206 4.348564e-05 1.367341e-01 1.891075e-01 0.027899 0.735023 -1.280186e-05
48 0.031250 7.32724037e-04 1.16613966e-03 0.628333 0.008919 8.198560e-05 2.172598e-04 0.049937 4.628583e-05 1.531217e-01 2.087948e-01 0.016152 0.734472 -1.218316e-05
64 0.041667 6.79401981e-04 1.15945951e-03 0.585964 0.007337 8.328363e-05 2.450466e-04 0.049069 5.016532e-05 1.740548e-01 2.120711e-01 0.011106 0.733899 -1.163529e-05
80 0.052083 6.35541176e-04 1.14554002e-03 0.554796 0.003342 8.632287e-05 2.716187e-04 0.047754 5.750946e-05 1.940624e-01 2.089680e-01 0.008442 0.734273 -1.093909e-05
96 0.062500 5.96082417e-04 1.12386346e-03 0.530387 0.004062 9.033608e-05 2.949468e-04 0.045820 6.630500e-05 2.073031e-01 2.041224e-01 0.007064 0.736804 -1.006951e-05
112 0.072917 5.61854744e-04 1.09509626e-03 0.513064 0.005611 9.450597e-05 3.136638e-04 0.043355 7.528054e-05 2.214751e-01 1.993597e-01 0.006107 0.740969 -9.402629e-06
128 0.083333 5.33197237e-04 1.06093147e-03 0.502575 0.006750 9.808852e-05 3.262974e-04 0.040742 8.586167e-05 2.280466e-01 1.955028e-01 0.005332 0.747163 -8.824450e-06
144 0.093750 5.07530883e-04 1.02238785e-03 0.496417 0.007232 1.006377e-04 3.322326e-04 0.038270 9.561448e-05 2.330136e-01 1.929408e-01 0.004908 0.754871 -8.150246e-06
160 0.104167 4.82832669e-04 9.81876030e-04 0.491745 0.007407 1.019816e-04 3.320951e-04 0.036260 1.061279e-04 2.331834e-01 1.914914e-01 0.004638 0.762679 -7.635757e-06
176 0.114583 4.58783084e-04 9.40258637e-04 0.487933 0.007771 1.021227e-04 3.266726e-04 0.034458 1.152406e-04 2.303484e-01 1.911192e-01 0.004363 0.770869 -7.173986e-06
192 0.125000 4.35853053e-04 8.98710128e-04 0.484976 0.009124 1.011874e-04 3.172239e-04 0.032992 1.236113e-04 2.352948e-01 1.916490e-01 0.004147 0.779400 -6.743404e-06
208 0.135417 4.14475537e-04 8.58114100e-04 0.483007 0.010252 9.936383e-05 3.050989e-04 0.031955 1.327892e-04 2.425240e-01 1.928783e-01 0.003908 0.788202 -6.299447e-06
224 0.145833 3.94141184e-04 8.18942870e-04 0.481280 0.011764 9.687255e-05 2.915427e-04 0.031173 1.422665e-04 2.454359e-01 1.945643e-01 0.003760 0.796964 -5.841103e-06
240 0.156250 3.74499200e-04 7.81627371e-04 0.479128 0.013446 9.388739e-05 2.775748e-04 0.030401 1.519152e-04 2.520256e-01 1.964947e-01 0.003594 0.805596 -5.404066e-06
256 0.166667 3.55647306e-04 7.46349939e-04 0.476515 0.015087 9.058200e-05 2.637513e-04 0.029676 1.616869e-04 2.549709e-01 1.985911e-01 0.003437 0.813869 -5.013873e-06
272 0.177083 3.37818933e-04 7.13300088e-04 0.473600 0.017079 8.713685e-05 2.505654e-04 0.029006 1.706270e-04 2.520733e-01 2.007037e-01 0.003316 0.821189 -4.690750e-06
288 0.187500 3.20877760e-04 6.82420470e-04 0.470205 0.019062 8.360436e-05 2.380885e-04 0.028417 1.791181e-04 2.453315e-01 2.028043e-01 0.003184 0.828023 -4.415740e-06
304 0.197917 3.04852608e-04 6.53460289e-04 0.466520 0.020849 8.004052e-05 2.262708e-04 0.027966 1.872282e-04 2.366636e-01 2.048921e-01 0.003085 0.834567 -4.104302e-06
320 0.208333 2.89716778e-04 6.26262022e-04 0.462613 0.022524 7.652046e-05 2.151061e-04 0.027804 1.953823e-04 2.293817e-01 2.069470e-01 0.002959 0.840816 -3.766251e-06
336 0.218750 2.75521504e-04 6.00695716e-04 0.458671 0.023936 7.310831e-05 2.046189e-04 0.027986 2.035686e-04 2.190310e-01 2.089347e-01 0.002863 0.846714 -3.449041e-06
