# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
0 0.000000 1.25000000e-03 1.25000000e-03 1.000000 0.000000 9.169953e-05 1.688788e-04 0.039834 1.191987e-16 1.284320e-01 3.803235e-16 0.507191 0.913241 0.000000e+00
16 0.010417 8.97737673e-04 1.06430823e-03 0.843494 0.005604 8.594229e-05 1.729321e-04 0.046530 4.326664e-04 1.165723e-01 1.257589e-01 0.456152 0.090660 1.380209e-07
32 0.020833 8.04772632e-04 1.02450027e-03 0.785527 0.007981 8.312622e-05 1.910152e-04 0.050130 5.869609e-04 1.255058e-01 1.816940e-01 0.378859 0.042999 -2.545259e-07
48 0.031250 7.35143760e-04 9.98446641e-04 0.736287 0.009807 8.239683e-05 2.121936e-04 0.052797 6.932248e-04 1.320933e-01 2.020905e-01 0.340964 0.028805 -1.059432e-06
64 0.041667 6.80633110e-04 9.73602722e-04 0.699087 0.008066 8.324763e-05 2.340686e-04 0.053978 7.815636e-04 1.367018e-01 2.067029e-01 0.313592 0.022058 -1.876441e-06
80 0.052083 6.35075649e-04 9.46011453e-04 0.671319 0.005149 8.542889e-05 2.547818e-04 0.054634 8.581626e-04 1.372186e-01 2.048502e-01 0.294018 0.018220 -2.439863e-06
96 0.062500 5.93041698e-04 9.14331530e-04 0.648607 0.007624 8.830790e-05 2.725599e-04 0.054437 9.252868e-04 1.358051e-01 2.009792e-01 0.280009 0.015922 -2.670733e-06
112 0.072917 5.55548989e-04 8.78904816e-04 0.632092 0.010411 9.115396e-05 2.861696e-04 0.053363 9.867731e-04 1.360617e-01 1.970021e-01 0.271290 0.014315 -2.916776e-06
128 0.083333 5.23338920e-04 8.40520205e-04 0.622637 0.013279 9.332363e-05 2.941980e-04 0.051758 1.044357e-03 1.390751e-01 1.937913e-01 0.262424 0.013174 -3.079975e-06
144 0.093750 4.93979955e-04 7.99811438e-04 0.617621 0.015426 9.442775e-05 2.957632e-04 0.050162 1.098950e-03 1.410870e-01 1.919092e-01 0.251935 0.012571 -3.002768e-06
160 0.104167 4.65791524e-04 7.58927622e-04 0.613750 0.017475 9.444694e-05 2.920714e-04 0.048880 1.150828e-03 1.403559e-01 1.910770e-01 0.246078 0.011869 -3.045821e-06
176 0.114583 4.38557679e-04 7.18447392e-04 0.610424 0.019770 9.337063e-05 2.839182e-04 0.047816 1.199425e-03 1.381022e-01 1.912773e-01 0.242322 0.011253 -3.208477e-06
192 0.125000 4.12634181e-04 6.79201995e-04 0.607528 0.022315 9.128920e-05 2.725284e-04 0.047044 1.244326e-03 1.339300e-01 1.923587e-01 0.239294 0.010741 -3.340073e-06
208 0.135417 3.88512291e-04 6.41827115e-04 0.605322 0.024548 8.841119e-05 2.592129e-04 0.046644 1.286063e-03 1.357214e-01 1.941070e-01 0.236373 0.010322 -3.368680e-06
224 0.145833 3.65879751e-04 6.06547670e-04 0.603217 0.026994 8.497169e-05 2.450423e-04 0.046425 1.324949e-03 1.478788e-01 1.963112e-01 0.233593 0.009973 -3.311390e-06
240 0.156250 3.44304473e-04 5.73450941e-04 0.600408 0.029479 8.117354e-05 2.308128e-04 0.046190 1.360865e-03 1.602685e-01 1.987432e-01 0.230587 0.009670 -3.222616e-06
256 0.166667 3.23876001e-04 5.42608597e-04 0.596887 0.031716 7.720828e-05 2.170121e-04 0.046011 1.393984e-03 1.724977e-01 2.013102e-01 0.228079 0.009406 -3.153666e-06
272 0.177083 3.04847326e-04 5.14125629e-04 0.592943 0.033953 7.325958e-05 2.040907e-04 0.045892 1.424345e-03 1.839891e-01 2.038360e-01 0.227208 0.009062 -3.168779e-06
288 0.187500 2.86992248e-04 4.87771832e-04 0.588374 0.036181 6.939520e-05 1.920654e-04 0.045829 1.451956e-03 1.948031e-01 2.062998e-01 0.227366 0.008709 -3.248131e-06
304 0.197917 2.70290299e-04 4.63236909e-04 0.583482 0.038109 6.563581e-05 1.808176e-04 0.045894 1.477243e-03 2.042800e-01 2.087439e-01 0.227135 0.008425 -3.243925e-06
320 0.208333 2.54689886e-04 4.40355637e-04 0.578373 0.039777 6.201895e-05 1.703077e-04 0.046248 1.500670e-03 2.117891e-01 2.111652e-01 0.226541 0.008186 -3.152560e-06
336 0.218750 2.40142833e-04 4.18999042e-04 0.573135 0.041189 5.856912e-05 1.605244e-04 0.046977 1.522548e-03 2.190393e-01 2.135424e-01 0.225817 0.007969 -3.051482e-06
352 0.229167 2.26575584e-04 3.99039132e-04 0.567803 0.042485 5.530032e-05 1.514236e-04 0.048058 1.543136e-03 2.249720e-01 2.158613e-01 0.225102 0.007764 -2.978485e-06
368 0.239583 2.13978455e-04 3.80343881e-04 0.562592 0.043696 5.222428e-05 1.429480e-04 0.049470 1.562645e-03 2.298222e-01 2.181177e-01 0.224744 0.007558 -2.946098e-06
384 0.250000 2.02266062e-04 3.62804577e-04 0.557507 0.044775 4.934679e-05 1.350420e-04 0.051132 1.581186e-03 2.362371e-01 2.203185e-01 0.224496 0.007344 -2.937295e-06
400 0.260417 1.91367999e-04 3.46284522e-04 0.552632 0.045826 4.665642e-05 1.276112e-04 0.052883 1.598820e-03 2.396685e-01 2.225139e-01 0.224740 0.007145 -2.910670e-06
416 0.270833 1.81271285e-04 3.30644132e-04 0.548237 0.046831 4.413412e-05 1.205559e-04 0.054595 1.615698e-03 2.394000e-01 2.247661e-01 0.224618 0.006991 -2.826966e-06
432 0.281250 1.71918392e-04 3.15809215e-04 0.544374 0.047757 4.177569e-05 1.138404e-04 0.056144 1.631967e-03 2.354298e-01 2.270917e-01 0.224472 0.006859 -2.713186e-06
448 0.291667 1.63258000e-04 3.01745207e-04 0.541046 0.048660 3.957608e-05 1.074570e-04 0.057431 1.647682e-03 2.281471e-01 2.294914e-01 0.224367 0.006727 -2.623071e-06
464 0.302083 1.55248356e-04 2.88416993e-04 0.538277 0.049550 3.752285e-05 1.013967e-04 0.058366 1.662864e-03 2.180603e-01 2.319682e-01 0.224721 0.006590 -2.567418e-06
480 0.312500 1.47828784e-04 2.75780863e-04 0.536037 0.050469 3.560247e-05 9.564649e-05 0.058913 1.677537e-03 2.089369e-01 2.345270e-01 0.225135 0.006453 -2.524201e-06
496 0.322917 1.40944252e-04 2.63796968e-04 0.534291 0.051414 3.380080e-05 9.019550e-05 0.059093 1.691729e-03 2.098626e-01 2.371701e-01 0.225337 0.006319 -2.469169e-06
512 0.333333 1.34555558e-04 2.52426611e-04 0.533048 0.052416 3.210383e-05 8.503454e-05 0.058931 1.705471e-03 2.082055e-01 2.398960e-01 0.225402 0.006195 -2.390253e-06
528 0.343750 1.28612578e-04 2.41636599e-04 0.532256 0.053526 3.050182e-05 8.015803e-05 0.058459 1.718801e-03 2.039203e-01 2.426923e-01 0.225199 0.006086 -2.291603e-06
544 0.354167 1.23072334e-04 2.31412205e-04 0.531832 0.054692 2.899057e-05 7.557031e-05 0.057723 1.731748e-03 1.971877e-01 2.455278e-01 0.225053 0.005977 -2.198852e-06
560 0.364583 1.17905232e-04 2.21742650e-04 0.531721 0.055862 2.756663e-05 7.127499e-05 0.056764 1.744326e-03 1.884075e-01 2.483681e-01 0.225419 0.005863 -2.133068e-06
576 0.375000 1.13076560e-04 2.12601628e-04 0.531871 0.057036 2.622442e-05 6.726228e-05 0.055614 1.756547e-03 1.780887e-01 2.511950e-01 0.225809 0.005749 -2.083277e-06
592 0.385417 1.08552335e-04 2.03952898e-04 0.532242 0.058193 2.495840e-05 6.351453e-05 0.054299 1.768426e-03 1.667558e-01 2.540018e-01 0.226075 0.005642 -2.027312e-06
608 0.395833 1.04309074e-04 1.95764250e-04 0.532830 0.059270 2.376393e-05 6.001455e-05 0.052853 1.779987e-03 1.548966e-01 2.567824e-01 0.226317 0.005545 -1.956403e-06
624 0.406250 1.00320818e-04 1.88011330e-04 0.533589 0.060237 2.263725e-05 5.674833e-05 0.051293 1.791253e-03 1.457783e-01 2.595267e-01 0.226444 0.005457 -1.876502e-06
640 0.416667 9.65634683e-05 1.80673816e-04 0.534463 0.061087 2.157566e-05 5.370378e-05 0.049626 1.802237e-03 1.364912e-01 2.622202e-01 0.226472 0.005374 -1.800380e-06
656 0.427083 9.30191172e-05 1.73732390e-04 0.535416 0.061807 2.057706e-05 5.086946e-05 0.047859 1.812943e-03 1.269892e-01 2.648480e-01 0.226568 0.005291 -1.738562e-06
672 0.437500 8.96683988e-05 1.67165643e-04 0.536404 0.062384 1.963839e-05 4.823258e-05 0.046003 1.823372e-03 1.179306e-01 2.674003e-01 0.226856 0.005206 -1.690463e-06
688 0.447917 8.64914480e-05 1.60948566e-04 0.537386 0.062816 1.875517e-05 4.577743e-05 0.044072 1.833525e-03 1.181052e-01 2.698778e-01 0.227287 0.005125 -1.643310e-06
704 0.458333 8.34734409e-05 1.55056433e-04 0.538342 0.063103 1.792291e-05 4.348796e-05 0.042082 1.843404e-03 1.180149e-01 2.722859e-01 0.227711 0.005049 -1.586637e-06
720 0.468750 8.06004450e-05 1.49468506e-04 0.539247 0.063244 1.713789e-05 4.135075e-05 0.040049 1.853016e-03 1.176455e-01 2.746266e-01 0.228214 0.004978 -1.523473e-06
736 0.479167 7.78589594e-05 1.44168068e-04 0.540057 0.063231 1.639678e-05 3.935485e-05 0.037979 1.862364e-03 1.169895e-01 2.768979e-01 0.228928 0.004910 -1.463489e-06
752 0.489583 7.52386691e-05 1.39139911e-04 0.540741 0.063066 1.569634e-05 3.749003e-05 0.035883 1.871444e-03 1.160468e-01 2.790983e-01 0.229782 0.004842 -1.412844e-06
768 0.500000 7.27296227e-05 1.34368043e-04 0.541272 0.062744 1.503339e-05 3.574599e-05 0.033776 1.880251e-03 1.153543e-01 2.812302e-01 0.230797 0.004773 -1.370877e-06
784 0.510417 7.03222157e-05 1.29835364e-04 0.541626 0.062258 1.440467e-05 3.411231e-05 0.031678 1.888779e-03 1.144777e-01 2.832998e-01 0.231934 0.004705 -1.331482e-06
800 0.520833 6.80091907e-05 1.25525054e-04 0.541798 0.061603 1.380697e-05 3.257889e-05 0.029605 1.897027e-03 1.133161e-01 2.853162e-01 0.233294 0.004640 -1.288021e-06
816 0.531250 6.57843239e-05 1.21422509e-04 0.541780 0.060778 1.323763e-05 3.113685e-05 0.027570 1.904994e-03 1.118795e-01 2.872873e-01 0.234602 0.004578 -1.239790e-06
