Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCM

  Eq. (11) mixing: beta 0.349698 gives cos(theta) 0.473611 against Table I's 0.473611  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.426e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCM   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1000   Pr_m 1.00   nu 0.01525 (tau 0.5457)   eta 0.01525 (omega_mag 1.8324)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 3 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 1.300   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
  --------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0     0.00  1.2500e-03  9.6154e-04    1.3000      10.61  3.7655e-05  2.6209e-05    8.15    8.57  +0.4736  2.2437e-07  1.9075e-01  8.26e-16  8.27e-16  3.497e-02
      6099     1.00  1.3016e-04  3.8208e-04    0.3407      3.185  1.4833e-06  2.3166e-06   13.25   18.16  +0.6260  6.3490e-04  6.8241e-02  2.69e-02  2.45e-02  1.907e-02
     12198     2.00  4.9509e-05  2.6023e-04    0.1902       2.25  4.4131e-07  9.1082e-07   14.98   23.90  +0.7931  8.4570e-04  4.7633e-02  4.71e-02  4.43e-02  1.822e-02
     18297     3.00  2.8495e-05  1.9281e-04    0.1478      1.832  2.1939e-07  4.9456e-07   16.12   27.92  +0.8804  1.2462e-03  4.5991e-02  7.46e-02  7.11e-02  1.252e-02
     24396     4.00  2.2203e-05  1.5040e-04    0.1476      1.606  1.5178e-07  3.1800e-07   17.10   30.76  +0.8660  1.4331e-03  4.1537e-02  9.26e-02  8.78e-02  1.023e-02
     30495     5.00  1.9651e-05  1.2086e-04    0.1626      1.455  1.5187e-07  2.4568e-07   16.09   31.37  +0.8039  1.5132e-03  4.0901e-02  1.07e-01  1.02e-01  9.648e-03
     36594     6.00  1.5381e-05  9.8229e-05    0.1566      1.299  1.5357e-07  2.1273e-07   14.15   30.39  +0.7488  1.5811e-03  4.0351e-02  1.22e-01  1.15e-01  1.236e-02
     42693     7.00  1.0148e-05  7.9845e-05    0.1271      1.129  1.2753e-07  1.8672e-07   12.62   29.24  +0.6905  1.6358e-03  3.8447e-02  1.37e-01  1.30e-01  1.499e-02
     48792     8.00  5.7413e-06  6.5590e-05    0.0875     0.9768  7.6763e-08  1.5622e-07   12.23   28.98  +0.6352  1.6491e-03  3.4202e-02  1.52e-01  1.44e-01  1.759e-02
     54891     9.00  3.1670e-06  5.4854e-05    0.0577     0.8635  3.4188e-08  1.2391e-07   13.61   29.76  +0.5927  1.6256e-03  2.8601e-02  1.65e-01  1.58e-01  1.806e-02
     60990    10.00  2.2109e-06  4.6536e-05    0.0475     0.7854  1.7931e-08  9.6939e-08   15.70   30.99  +0.5392  1.5786e-03  2.3179e-02  1.77e-01  1.70e-01  1.478e-02
