Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCMS

  Eq. (11) mixing: beta 0.349698 gives cos(theta) 0.473611 against Table I's 0.473611  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.426e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCMS   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1750   Pr_m 1.00   nu 0.00871 (tau 0.5261)   eta 0.00871 (omega_mag 1.9006)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 3 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 1.300   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
  --------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0     0.00  1.2500e-03  9.6154e-04    1.3000      10.61  3.7655e-05  2.6209e-05    8.15    8.57  +0.4736  2.2437e-07  1.9075e-01  8.26e-16  8.27e-16  3.497e-02
      6099     1.00  1.7036e-04  4.6010e-04    0.3703      3.539  3.1060e-06  4.1446e-06   10.47   14.90  +0.6375  4.3247e-04  7.7217e-02  1.92e-02  1.74e-02  1.764e-02
     12198     2.00  7.6993e-05  3.3876e-04    0.2273      2.569  8.9250e-07  1.5534e-06   13.14   20.88  +0.7942  5.9139e-04  5.7824e-02  3.21e-02  2.99e-02  1.576e-02
     18297     3.00  5.0595e-05  2.7712e-04    0.1826        2.2  4.8679e-07  9.3318e-07   14.42   24.37  +0.8995  9.0441e-04  5.2806e-02  4.99e-02  4.73e-02  1.194e-02
     24396     4.00  4.3387e-05  2.3289e-04    0.1863      2.001  3.1915e-07  6.1523e-07   16.49   27.52  +0.9195  1.1231e-03  4.8678e-02  6.20e-02  5.88e-02  8.406e-03
     30495     5.00  4.2594e-05  2.0093e-04    0.2120      1.894  3.0635e-07  4.8455e-07   16.68   28.80  +0.9031  1.2547e-03  5.0128e-02  7.08e-02  6.68e-02  7.278e-03
     36594     6.00  4.1719e-05  1.7343e-04    0.2406      1.789  3.2297e-07  4.0892e-07   16.07   29.12  +0.8693  1.3635e-03  5.0634e-02  8.06e-02  7.59e-02  7.285e-03
     42693     7.00  3.7928e-05  1.5011e-04    0.2527      1.668  3.3912e-07  3.6163e-07   14.96   28.81  +0.8275  1.4546e-03  5.2521e-02  9.28e-02  8.77e-02  7.352e-03
     48792     8.00  3.1554e-05  1.3144e-04    0.2401      1.538  3.7602e-07  3.6389e-07   12.95   26.88  +0.7872  1.5337e-03  5.7484e-02  1.03e-01  9.76e-02  9.962e-03
     54891     9.00  2.3239e-05  1.1559e-04    0.2010      1.392  3.8783e-07  3.8999e-07   10.95   24.35  +0.7534  1.6086e-03  6.0235e-02  1.12e-01  1.06e-01  1.214e-02
     60990    10.00  1.3639e-05  1.0127e-04    0.1347      1.222  2.4126e-07  3.4004e-07   10.63   24.41  +0.7307  1.6777e-03  5.5205e-02  1.31e-01  1.24e-01  1.501e-02
