# tg_mhd (host FP64)  tgc_noslip_cond_n65_re200  N=65 L=65 Re=200 Pm=1 u0=0.05 nu_lat=5.092958e-03 eta_lat=5.092958e-03 tau_f=0.515279 tau_m=0.520372 dt=2.454369e-03
# t E_V E_M E_T H_C Omega_V Omega_M eps EM/EV OmM/OmV j_max w_max skew divb/j divb_wall/j mass_drift umax_lat fw1 fw2 fw4 tau_wall
0.000000 1.17309570e-01 1.25000000e-01 2.42309570e-01 -8.62630628e-22 8.97803811e+00 1.49518705e+00 1.04732252e-01 1.065557e+00 1.665383e-01 3.458540e+00 3.052091e+01 -1.877819e-18 9.0235e-16 1.3357e-15 +0.0000e+00 0.04988 8.38273e-01 8.49670e-01 8.84507e-01 7.14909e-02
0.100629 1.09117786e-01 1.22855323e-01 2.31973109e-01 -5.90504869e-05 4.54425779e+00 1.48898218e+00 6.03323997e-02 1.125896e+00 3.276623e-01 3.533671e+00 2.001021e+01 1.077071e-01 2.5883e-03 6.6610e-03 -1.0631e-05 0.05127 7.00715e-01 7.40741e-01 8.01024e-01 4.29443e-02
0.201258 1.05306593e-01 1.21232697e-01 2.26539290e-01 -1.49082186e-04 3.60592050e+00 1.51594683e+00 5.12186733e-02 1.151236e+00 4.204050e-01 3.681177e+00 1.684342e+01 3.690597e-02 4.0812e-03 9.6652e-03 -5.4827e-05 0.04999 6.24054e-01 6.89425e-01 7.62656e-01 3.53871e-02
0.301887 1.02095039e-01 1.19874303e-01 2.21969341e-01 -2.58635360e-04 3.11058114e+00 1.56550226e+00 4.67608340e-02 1.174144e+00 5.032829e-01 3.867477e+00 1.527422e+01 2.069602e-01 5.0810e-03 1.1598e-02 -4.4157e-05 0.04931 5.62254e-01 6.46647e-01 7.32987e-01 3.08681e-02
0.402517 9.89646478e-02 1.18336507e-01 2.17301154e-01 -3.87123810e-04 2.82312765e+00 1.62947682e+00 4.45260447e-02 1.195745e+00 5.771885e-01 4.136068e+00 1.486633e+01 1.942069e-01 5.8320e-03 1.3144e-02 +5.8541e-06 0.04860 5.13255e-01 6.09773e-01 7.09538e-01 2.78416e-02
0.503146 9.63224868e-02 1.16595498e-01 2.12917985e-01 -4.82903521e-04 2.60801525e+00 1.70405708e+00 4.31207232e-02 1.210470e+00 6.533923e-01 4.392978e+00 1.390434e+01 1.850217e-01 6.3901e-03 1.4417e-02 -6.7586e-05 0.04703 4.67991e-01 5.72092e-01 6.85924e-01 2.57570e-02
0.603775 9.37157106e-02 1.14839821e-01 2.08555532e-01 -6.08448280e-04 2.48114788e+00 1.79189227e+00 4.27304015e-02 1.225406e+00 7.222029e-01 4.617203e+00 1.361066e+01 2.954535e-01 6.8484e-03 1.5480e-02 -7.4458e-05 0.04697 4.31419e-01 5.38942e-01 6.66163e-01 2.41444e-02
0.704404 9.11849743e-02 1.13023852e-01 2.04208827e-01 -6.70495815e-04 2.39643098e+00 1.89196181e+00 4.28839279e-02 1.239501e+00 7.894915e-01 4.798008e+00 1.327178e+01 2.862939e-01 7.2756e-03 1.6410e-02 -2.2326e-05 0.04590 3.99274e-01 5.07721e-01 6.47982e-01 2.30294e-02
0.805033 8.90175079e-02 1.10881470e-01 1.99898977e-01 -7.19486242e-04 2.32012961e+00 1.99525061e+00 4.31538022e-02 1.245614e+00 8.599738e-01 4.854239e+00 1.322748e+01 3.179919e-01 7.6983e-03 1.7224e-02 -7.1042e-05 0.04558 3.67183e-01 4.75062e-01 6.28057e-01 2.17755e-02
0.905662 8.68828976e-02 1.08475507e-01 1.95358405e-01 -7.29176499e-04 2.28180420e+00 2.10611305e+00 4.38791725e-02 1.248525e+00 9.230034e-01 4.978508e+00 1.337711e+01 3.720517e-01 8.1789e-03 1.7911e-02 -7.5198e-05 0.04547 3.40304e-01 4.46148e-01 6.10469e-01 2.09667e-02
