# tg_mhd (host FP64)  tgc_slip_cond_n65_re200  N=65 L=65 Re=200 Pm=1 u0=0.05 nu_lat=5.092958e-03 eta_lat=5.092958e-03 tau_f=0.515279 tau_m=0.520372 dt=2.454369e-03
# t E_V E_M E_T H_C Omega_V Omega_M eps EM/EV OmM/OmV j_max w_max skew divb/j divb_wall/j mass_drift umax_lat fw1 fw2 fw4 tau_wall
0.000000 1.25000000e-01 1.25000000e-01 2.50000000e-01 -4.92586055e-22 3.74698900e-01 1.49518705e+00 1.86988595e-02 1.000000e+00 3.990369e+00 3.458540e+00 1.999197e+00 -2.699668e-18 9.0030e-16 1.3209e-15 +0.0000e+00 0.05000 9.41649e-02 1.58000e-01 3.53124e-01 0.00000e+00
0.100629 1.24337160e-01 1.22865601e-01 2.47202761e-01 2.30529784e-06 3.81323505e-01 1.47593425e+00 1.85725776e-02 9.881648e-01 3.870557e+00 3.518275e+00 1.998609e+00 1.364675e-01 1.0680e-04 1.5656e-04 +3.0496e-06 0.05069 9.40787e-02 1.57925e-01 3.53519e-01 0.00000e+00
0.201258 1.23968809e-01 1.21275000e-01 2.45243808e-01 7.01748440e-06 4.05600093e-01 1.47601563e+00 1.88161573e-02 9.782703e-01 3.639091e+00 3.610875e+00 2.038305e+00 3.628571e-02 3.0457e-04 4.6513e-04 -4.5726e-05 0.05116 9.33735e-02 1.56986e-01 3.53384e-01 0.00000e+00
0.301887 1.23532969e-01 1.20028670e-01 2.43561639e-01 1.46020377e-05 4.43014346e-01 1.49421749e+00 1.93723183e-02 9.716327e-01 3.372842e+00 3.729367e+00 2.103021e+00 2.058751e-01 6.0743e-04 9.4423e-04 -2.6620e-05 0.05202 9.25746e-02 1.56090e-01 3.54519e-01 0.00000e+00
0.402517 1.22673329e-01 1.18747889e-01 2.41421219e-01 2.94902624e-05 4.90083961e-01 1.52806269e+00 2.01814665e-02 9.680009e-01 3.117961e+00 3.890143e+00 2.178379e+00 2.245039e-01 1.0121e-03 1.5928e-03 +4.2463e-05 0.05258 9.18653e-02 1.55585e-01 3.57658e-01 0.00000e+00
0.503146 1.22115647e-01 1.17284126e-01 2.39399773e-01 5.59659501e-05 5.46166353e-01 1.57669689e+00 2.12286324e-02 9.604349e-01 2.886844e+00 4.053186e+00 2.269478e+00 2.169264e-01 1.5164e-03 2.4134e-03 -3.4254e-05 0.05236 9.04910e-02 1.54256e-01 3.60020e-01 0.00000e+00
0.603775 1.21215363e-01 1.15905830e-01 2.37121193e-01 9.75347788e-05 6.08658388e-01 1.64485542e+00 2.25351380e-02 9.561975e-01 2.702428e+00 4.223423e+00 2.358944e+00 3.337699e-01 2.1333e-03 3.4248e-03 -3.8843e-05 0.05323 8.93847e-02 1.53749e-01 3.64702e-01 0.00000e+00
0.704404 1.20166439e-01 1.14589687e-01 2.34756126e-01 1.57888827e-04 6.77488308e-01 1.73261174e+00 2.41010004e-02 9.535914e-01 2.557405e+00 4.373908e+00 2.541729e+00 2.869771e-01 2.8823e-03 4.6550e-03 +1.8412e-05 0.05361 8.85491e-02 1.54132e-01 3.71131e-01 0.00000e+00
0.805033 1.19344829e-01 1.12989579e-01 2.32334408e-01 2.39308540e-04 7.53468778e-01 1.83336361e+00 2.58683239e-02 9.467489e-01 2.433231e+00 4.494699e+00 2.828033e+00 3.637550e-01 3.7655e-03 6.0818e-03 -1.6309e-05 0.05420 8.75611e-02 1.54637e-01 3.76946e-01 0.00000e+00
0.905662 1.18342458e-01 1.11149523e-01 2.29491982e-01 3.43534880e-04 8.35190428e-01 1.94846443e+00 2.78365486e-02 9.392193e-01 2.332958e+00 4.641109e+00 3.122817e+00 4.212138e-01 4.8012e-03 7.6674e-03 -9.0922e-06 0.05496 8.70978e-02 1.56304e-01 3.83695e-01 0.00000e+00
1.006291 1.17515348e-01 1.09022035e-01 2.26537383e-01 4.72008060e-04 9.23519198e-01 2.07204594e+00 2.99556513e-02 9.277259e-01 2.243641e+00 5.181034e+00 3.447400e+00 3.694472e-01 5.9682e-03 9.3222e-03 -1.7376e-05 0.05530 8.68751e-02 1.58473e-01 3.89872e-01 0.00000e+00
1.106921 1.16845100e-01 1.06565255e-01 2.23410354e-01 6.25101303e-04 1.01701639e+00 2.20060221e+00 3.21761860e-02 9.120216e-01 2.163782e+00 6.181762e+00 3.820464e+00 4.007144e-01 7.2675e-03 1.1030e-02 -2.0638e-05 0.05617 8.69263e-02 1.61022e-01 3.95478e-01 0.00000e+00
1.207550 1.16113184e-01 1.03746925e-01 2.19860109e-01 8.05026059e-04 1.11264812e+00 2.33124782e+00 3.44389594e-02 8.934982e-01 2.095225e+00 7.237323e+00 4.205836e+00 4.277251e-01 8.7249e-03 1.2849e-02 +2.1683e-05 0.05656 8.73123e-02 1.63911e-01 4.01172e-01 0.00000e+00
