# apparent-cp D3Q27  P=234 W spot=140 um dx=5e-06 m steps=208
t_s,depth_m
6.018069045e-06,0.000000000e+00
1.203613809e-05,0.000000000e+00
1.805420713e-05,0.000000000e+00
2.407227618e-05,0.000000000e+00
3.009034522e-05,0.000000000e+00
3.610841427e-05,0.000000000e+00
4.212648331e-05,0.000000000e+00
4.814455236e-05,0.000000000e+00
5.416262140e-05,0.000000000e+00
6.018069045e-05,0.000000000e+00
6.619875949e-05,4.357791601e-06
7.221682854e-05,4.357791601e-06
7.823489758e-05,4.357791601e-06
8.425296663e-05,6.980388992e-06
9.027103567e-05,6.980388992e-06
9.628910472e-05,6.980388992e-06
1.023071738e-04,7.077913904e-06
1.083252428e-04,7.077913904e-06
1.143433119e-04,7.077913904e-06
1.203613809e-04,9.370797580e-06
1.263794499e-04,9.370797580e-06
1.323975190e-04,9.775550104e-06
1.384155880e-04,9.775550104e-06
1.444336571e-04,1.107333828e-05
1.504517261e-04,1.107333828e-05
1.564697952e-04,1.107333828e-05
1.624878642e-04,1.404961879e-05
1.685059333e-04,1.404961879e-05
1.745240023e-04,1.456563316e-05
1.805420713e-04,2.456563316e-05
1.865601404e-04,2.956563316e-05
1.925782094e-04,3.456563316e-05
1.985962785e-04,3.956563316e-05
2.046143475e-04,4.456563316e-05
2.106324166e-04,4.956563316e-05
2.166504856e-04,5.456563316e-05
2.226685547e-04,5.956563316e-05
2.286866237e-04,5.956563316e-05
2.347046927e-04,6.456563316e-05
2.407227618e-04,6.956563316e-05
2.467408308e-04,7.456563316e-05
2.527588999e-04,7.904961879e-05
2.587769689e-04,7.904961879e-05
2.647950380e-04,8.404961879e-05
2.708131070e-04,8.904961879e-05
2.768311761e-04,8.904961879e-05
2.828492451e-04,9.404961879e-05
2.888673141e-04,9.747101650e-05
2.948853832e-04,1.024710165e-04
3.009034522e-04,1.074710165e-04
3.069215213e-04,1.124710165e-04
3.129395903e-04,1.124710165e-04
