t_s,depth_m
8.620689655e-06,0.000000000e+00
1.724137931e-05,6.917032844e-06
3.448275862e-05,1.340396217e-05
4.310344828e-05,2.723058017e-05
5.172413793e-05,3.932933641e-05
4.310344828e-05,5.617226484e-05
7.327586207e-05,6.914426156e-05
7.327586207e-05,9.463022269e-05
8.189655172e-05,1.114805988e-04
9.051724138e-05,1.352424220e-04
1.206896552e-04,1.456226261e-04
1.206896552e-04,1.572856930e-04
1.465517241e-04,1.719836896e-04
1.681034483e-04,1.797683772e-04
1.939655172e-04,1.866909958e-04
1.939655172e-04,1.931704774e-04
