# apparent-cp D3Q27  P=100 W spot=50 um dx=2.5e-06 m steps=773
t_s,depth_m
9.732414844e-07,0.000000000e+00
1.946482969e-06,0.000000000e+00
2.919724453e-06,0.000000000e+00
3.892965938e-06,0.000000000e+00
4.866207422e-06,0.000000000e+00
5.839448906e-06,0.000000000e+00
6.812690391e-06,8.603039793e-09
7.785931875e-06,1.340501484e-07
8.759173359e-06,2.565808689e-07
9.732414844e-06,3.807063586e-07
1.070565633e-05,6.043409388e-07
1.167889781e-05,8.708273749e-07
1.265213930e-05,1.139946487e-06
1.362538078e-05,1.356376843e-06
1.459862227e-05,1.625018017e-06
1.557186375e-05,1.899040527e-06
1.654510523e-05,2.179602010e-06
1.751834672e-05,3.533024349e-06
1.849158820e-05,4.384937523e-06
1.946482969e-05,6.237325239e-06
2.043807117e-05,8.565384129e-06
2.141131266e-05,9.886139343e-06
2.238455414e-05,1.171819346e-05
2.335779563e-05,1.260292661e-05
2.433103711e-05,1.441013910e-05
2.530427859e-05,1.545547976e-05
2.627752008e-05,1.689744372e-05
2.725076156e-05,1.855064895e-05
2.822400305e-05,2.024020796e-05
2.919724453e-05,2.141189256e-05
3.017048602e-05,2.242994864e-05
3.114372750e-05,2.460581561e-05
3.211696898e-05,2.563619810e-05
3.309021047e-05,2.687176904e-05
3.406345195e-05,2.870570016e-05
3.503669344e-05,2.979548422e-05
3.600993492e-05,3.186416763e-05
3.698317641e-05,3.209369301e-05
3.795641789e-05,3.391877736e-05
3.892965938e-05,3.488590482e-05
3.990290086e-05,3.686510964e-05
4.087614234e-05,3.767961724e-05
4.184938383e-05,3.967981233e-05
4.282262531e-05,4.064371898e-05
4.379586680e-05,4.187111090e-05
4.476910828e-05,4.286436819e-05
4.574234977e-05,4.451268910e-05
4.671559125e-05,4.546420358e-05
4.768883273e-05,4.672735100e-05
4.866207422e-05,4.774122394e-05
4.963531570e-05,4.916721503e-05
5.060855719e-05,5.064961559e-05
5.158179867e-05,5.178855995e-05
5.255504016e-05,5.282621575e-05
5.352828164e-05,5.418335168e-05
5.450152313e-05,5.572945966e-05
5.547476461e-05,5.686513890e-05
5.644800609e-05,5.786778018e-05
5.742124758e-05,5.911957476e-05
5.839448906e-05,6.077769622e-05
5.936773055e-05,6.187705866e-05
6.034097203e-05,6.289810870e-05
6.131421352e-05,6.396918787e-05
6.228745500e-05,6.577538249e-05
6.326069648e-05,6.686524872e-05
6.423393797e-05,6.785149589e-05
6.520717945e-05,6.891137955e-05
6.618042094e-05,7.001755532e-05
6.715366242e-05,7.200346745e-05
6.812690391e-05,7.237299219e-05
6.910014539e-05,7.409102381e-05
7.007338688e-05,7.505872708e-05
7.104662836e-05,7.696694627e-05
