# apparent-cp D3Q7  P=156 W spot=140 um dx=5e-06 m steps=1310
t_s,depth_m
6.018069045e-06,0.000000000e+00
1.203613809e-05,0.000000000e+00
1.805420713e-05,0.000000000e+00
2.407227618e-05,0.000000000e+00
3.009034522e-05,0.000000000e+00
3.610841427e-05,0.000000000e+00
4.212648331e-05,0.000000000e+00
4.814455236e-05,0.000000000e+00
5.416262140e-05,0.000000000e+00
6.018069045e-05,0.000000000e+00
6.619875949e-05,0.000000000e+00
7.221682854e-05,0.000000000e+00
7.823489758e-05,0.000000000e+00
8.425296663e-05,0.000000000e+00
9.027103567e-05,0.000000000e+00
9.628910472e-05,0.000000000e+00
1.023071738e-04,0.000000000e+00
1.083252428e-04,0.000000000e+00
1.143433119e-04,0.000000000e+00
1.203613809e-04,0.000000000e+00
1.263794499e-04,0.000000000e+00
1.323975190e-04,0.000000000e+00
1.384155880e-04,0.000000000e+00
1.444336571e-04,7.524442535e-07
1.504517261e-04,3.252444253e-06
1.564697952e-04,3.252444253e-06
1.624878642e-04,3.252444253e-06
1.685059333e-04,3.292025164e-06
1.745240023e-04,3.292025164e-06
1.805420713e-04,3.292025164e-06
1.865601404e-04,3.292025164e-06
1.925782094e-04,3.292025164e-06
1.985962785e-04,5.000000000e-06
2.046143475e-04,5.000000000e-06
2.106324166e-04,5.000000000e-06
2.166504856e-04,5.000000000e-06
2.226685547e-04,5.000000000e-06
2.286866237e-04,5.000000000e-06
2.347046927e-04,5.000000000e-06
2.407227618e-04,5.000000000e-06
2.467408308e-04,5.000000000e-06
2.527588999e-04,5.000000000e-06
2.587769689e-04,5.000000000e-06
2.647950380e-04,7.079421610e-06
2.708131070e-04,7.079421610e-06
2.768311761e-04,7.079421610e-06
2.828492451e-04,9.579421610e-06
2.888673141e-04,9.579421610e-06
2.948853832e-04,9.579421610e-06
3.009034522e-04,9.579421610e-06
3.069215213e-04,9.579421610e-06
3.129395903e-04,9.579421610e-06
3.189576594e-04,9.579421610e-06
3.249757284e-04,9.579421610e-06
3.309937975e-04,9.579421610e-06
3.370118665e-04,9.955469085e-06
3.430299356e-04,9.955469085e-06
3.490480046e-04,9.955469085e-06
3.550660736e-04,9.955469085e-06
3.610841427e-04,9.955469085e-06
3.671022117e-04,9.955469085e-06
3.731202808e-04,9.955469085e-06
3.791383498e-04,9.955469085e-06
3.851564189e-04,1.081048007e-05
3.911744879e-04,1.081048007e-05
3.971925570e-04,1.081048007e-05
4.032106260e-04,1.319112117e-05
4.092286950e-04,1.319112117e-05
4.152467641e-04,1.319112117e-05
4.212648331e-04,1.319112117e-05
4.272829022e-04,1.319112117e-05
4.333009712e-04,1.319112117e-05
4.393190403e-04,1.319112117e-05
4.453371093e-04,1.319112117e-05
4.513551784e-04,1.319112117e-05
4.573732474e-04,1.319112117e-05
